"","other","Mortierellaceae","Piskurozymaceae","Trimorphomycetaceae","Umbelopsidaceae","Russulaceae","Hypocreaceae","Aspergillaceae","Herpotrichiellaceae","Clavulinaceae","Chaetomiaceae","Atheliaceae","Cortinariaceae","Inocybaceae","Sebacinaceae","Helotiaceae","Thelephoraceae","Tricholomataceae","Pyronemataceae","Gloniaceae","Helotiales_fam_Incertae_sedis"
"BART_001-M-22-32-20140722",0.345739471106758,0.0538687561214496,0.00685602350636631,0.000979431929480901,0.0783545543584721,0.103819784524976,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.00489715964740451,0.0019588638589618,0.000979431929480901,0.000979431929480901,0.208619000979432,0.0303623898139079,0.0137120470127326,0.135161606268364,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.00783545543584721
"BART_001-M-7-0-20140722",0.487757100881489,0.0342801175318315,0.0019588638589618,0.000979431929480901,0.0254652301665034,0.0411361410381978,0.0019588638589618,0.000979431929480901,0.000979431929480901,0.0548481880509305,0.00783545543584721,0.0235063663075416,0.0107737512242899,0.101860920666014,0.0381978452497551,0.0920666013712047,0.0577864838393732,0.000979431929480901,0.0039177277179236,0.0107737512242899,0.0019588638589618
"BART_001-O-30-37-20140722",0.5435847208619,0.0039177277179236,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.00489715964740451,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.279138099902057,0.000979431929480901,0.103819784524976,0.0146914789422135,0.000979431929480901,0.0274240940254652,0.0039177277179236,0.00489715964740451,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.0029382957884427
"BART_001-O-7-0-20140722",0.813907933398629,0.0509304603330069,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.0019588638589618,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.0029382957884427,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.114593535749265,0.000979431929480901
"BART_004-M-25-6-20140722",0.675808031341822,0.0930460333006856,0.000979431929480901,0.000979431929480901,0.00685602350636631,0.029382957884427,0.00685602350636631,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.00881488736532811,0.0146914789422135,0.0381978452497551,0.0871694417238002,0.0117531831537708,0.00685602350636631,0.000979431929480901,0.000979431929480901,0.00783545543584721,0.00489715964740451
"BART_004-O-25-6-20140722",0.392752203721841,0.0381978452497551,0.00489715964740451,0.000979431929480901,0.000979431929480901,0.039177277179236,0.0881488736532811,0.000979431929480901,0.000979431929480901,0.0146914789422135,0.000979431929480901,0.0019588638589618,0.000979431929480901,0.000979431929480901,0.20666013712047,0.0127326150832517,0.144955925563173,0.000979431929480901,0.000979431929480901,0.0460333006856024,0.000979431929480901
"BART_006-M-15-7-20140722",0.830558276199804,0.0460333006856024,0.0039177277179236,0.000979431929480901,0.000979431929480901,0.0381978452497551,0.00685602350636631,0.000979431929480901,0.0029382957884427,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.00685602350636631,0.000979431929480901,0.0039177277179236,0.0460333006856024,0.0019588638589618,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.0029382957884427
"BART_006-M-33-11-20140722",0.635651322233105,0.0430950048971596,0.000979431929480901,0.000979431929480901,0.0744368266405485,0.124387855044074,0.000979431929480901,0.000979431929480901,0.0039177277179236,0.000979431929480901,0.00685602350636631,0.00685602350636631,0.0039177277179236,0.0519098922624878,0.00587659157688541,0.019588638589618,0.00489715964740451,0.000979431929480901,0.0019588638589618,0.000979431929480901,0.00979431929480901
"BART_006-M-33-3-20140619",0.717923604309501,0.0127326150832517,0.000979431929480901,0.000979431929480901,0.0910871694417238,0.0401567091087169,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.0156709108716944,0.000979431929480901,0.000979431929480901,0.0861900097943193,0.00489715964740451,0.0107737512242899,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.00881488736532811
"BART_006-O-4-7-20140722",0.971596474045054,0.0039177277179236,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.00489715964740451,0.0029382957884427,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.000979431929480901
