"","other","Mortierellaceae","Piskurozymaceae","Trimorphomycetaceae","Umbelopsidaceae","Russulaceae","Hypocreaceae","Aspergillaceae","Herpotrichiellaceae","Clavulinaceae","Chaetomiaceae","Atheliaceae","Cortinariaceae","Inocybaceae","Sebacinaceae","Helotiaceae","Thelephoraceae","Tricholomataceae","Pyronemataceae","Gloniaceae","Helotiales_fam_Incertae_sedis"
"BART_001",0.589754438777778,0.0413060480122222,0.0139680511888889,0.0117353681017778,0.0214094883911111,0.0274718007533333,0.0121745627577778,0.0115410401086667,0.0122256891838889,0.03250519005,0.0140353444444444,0.0219163834866667,0.0168980819477778,0.0278392525188889,0.0289491462848889,0.0268225161011111,0.0298271016977778,0.0115965369223333,0.0126480323886667,0.0201510710777778,0.015224857479
"BART_004",0.458397786777778,0.0689674088777778,0.0121609552441111,0.009467062931,0.0126976840797778,0.0448506657888889,0.0360029254644444,0.0094860671257,0.00968713516918889,0.0144343862886667,0.00949195272366667,0.0149355437252222,0.0144745650137222,0.0174443987337778,0.139890251911111,0.0238750780342222,0.0426075478966667,0.00953260035433333,0.00950726724888889,0.0301892286984778,0.0118994890452222
"BART_006",0.630492001,0.0349987612033333,0.0135213961411111,0.0121237309555556,0.0252115659388889,0.0480447431388889,0.0150993367877778,0.0122415323094444,0.0143156461522222,0.0123036192811111,0.0140229373604444,0.0170520112777778,0.0152544738335556,0.0161232564514444,0.02235306825,0.0240332783244444,0.0170586914858889,0.0122597796966667,0.0128377469797778,0.0122018681694444,0.0184505549877778
"CPER_001",0.632269397,0.101922096046667,0.0190939670322222,0.0122738667044444,0.0121871261057778,0.0122839971017778,0.0152230839474444,0.0123021462063333,0.0189859963475556,0.0122962741517778,0.0233148748688889,0.0124076552728889,0.0123489987905556,0.0122076035946667,0.0121166305813333,0.0149404624035556,0.0122300146288889,0.0150748415036667,0.0120809439165556,0.0122209304731111,0.0122190872318889
"CPER_002",0.620031759777778,0.103516725688889,0.0136337013786667,0.011904195697,0.0119594835337778,0.0120231042452222,0.0154857038932222,0.0121120224321111,0.0172378773018889,0.0128686753293333,0.03978559475,0.0119710647101111,0.0120170351005556,0.0119792933081111,0.0119883468314444,0.0132965137393333,0.012005532807,0.0120875096355556,0.0127473834168889,0.0120971532131111,0.0192513263348889
"CPER_003",0.582427585,0.126671538644444,0.017171958792,0.0114246789727778,0.0114624306316667,0.0112639826014444,0.0190022044318889,0.0114489620807778,0.0182613994191111,0.0114930100972222,0.0327873550344444,0.0115558594633333,0.0114953064858889,0.0116662068525556,0.0114676225521111,0.0161608976788889,0.0115263455397778,0.0356771798622222,0.0141818898057778,0.0112964184902222,0.0115571599421111
"CPER_004",0.664468651111111,0.0665419685366667,0.0126488009204444,0.0127059486472222,0.0125787743372222,0.012591679878,0.01351988154,0.0145670256874444,0.0148454020505556,0.0126035792566667,0.0229828879025556,0.0127544964878889,0.0128497150195556,0.0126470680456667,0.012690400027,0.0163589057211111,0.0126022320485556,0.0126937783062222,0.0180081158497778,0.0126433112113333,0.0166973755983333
"CPER_007",0.498137408888889,0.273032011468889,0.0100852973042344,0.00989162717617111,0.00981841976682345,0.00962870409594333,0.0135277065900402,0.00985543472084222,0.0158124514036467,0.0158513408813977,0.0158685509608622,0.0100057910291367,0.00988774931022277,0.00969075738189444,0.00999777706120556,0.0219116837264667,0.00995175351713889,0.00990530995786556,0.0174695389205333,0.00991489766890667,0.00975579185497889
"CPER_047",0.478231537777778,0.317649354211111,0.0144546718169944,0.00953042284614,0.00959653140109944,0.00962020745882889,0.009426415588468,0.00958966956773944,0.0130767435794131,0.00942875577124222,0.0220171038888111,0.00962168839729789,0.00957658422417889,0.00934283110675556,0.00970847161670111,0.0114728184357611,0.009412588245502,0.00945276519673778,0.00974686875936711,0.00963995163259444,0.00940401134198222
"DSNY_001",0.624113690888889,0.0159043994644444,0.0121924879444444,0.0122895425088889,0.0124406982511111,0.0982688746111111,0.0189460427633333,0.01227301812,0.0147629063688889,0.0142495324422222,0.0121638709811111,0.0139558750222222,0.0148963390166667,0.0140015333966667,0.01217652289,0.0242734036133333,0.0190018360144444,0.0133749861022222,0.0127317431366667,0.0149116779288889,0.0130710128122222
"DSNY_002",0.694657218111111,0.0208861260788889,0.0131973568322222,0.01312504801,0.0130773392422222,0.0145546338666667,0.0146363168688889,0.0129915020555556,0.0151957838233333,0.0149410606644444,0.0132075595277778,0.0170011802755556,0.0136295284155556,0.0132630501488889,0.0132030794766667,0.0273516648088889,0.0174161717966667,0.0155284085077778,0.0143810228844444,0.0130858248677778,0.0146701226555556
"DSNY_003",0.687931176222222,0.0195278028641111,0.0129307687761111,0.0129929972035556,0.0130347967271444,0.0297653061518889,0.0152791530408889,0.0129638524503333,0.0171838633263333,0.0215568961144444,0.0130976160138889,0.0128655076008889,0.0129030455182222,0.0128578045922222,0.0129792891745556,0.0224537630346667,0.018152352027,0.0129435024922222,0.0128738476555556,0.013005991762,0.0127006692013333
"DSNY_004",0.726065640555556,0.0187164220432927,0.0130759213060822,0.0132434493266089,0.0128453168613033,0.0130168580817514,0.0125945567775667,0.01334095040544,0.0130421103773333,0.01335624715646,0.0130380626993356,0.0130308950430033,0.0130137523943421,0.0126745028760922,0.0127861862282667,0.0202453919568222,0.0131458853831011,0.0130999289147808,0.013274279916053,0.0133453126499522,0.0130483291171333
"DSNY_009",0.702978518888889,0.0137567522477778,0.0134055820077778,0.01322924519,0.0132893099855556,0.0141265180644444,0.0228411956888889,0.0131910050388889,0.0133476668411111,0.0132578812877778,0.0132900788866667,0.0132280702122222,0.0139014024822222,0.0132836943911111,0.0132853734411111,0.0249554453277778,0.0132283611666667,0.0160071951666667,0.0188084726277778,0.0132847638711111,0.0133034609577778
"DSNY_016",0.664728780888889,0.0136593344866667,0.0128196255044444,0.0127862449944444,0.0127271922722222,0.0127774136166667,0.0245035979444444,0.0127563773933333,0.0153900787955556,0.0128492030133333,0.0147679052055556,0.0142934705277778,0.0206810177733333,0.0127593286322222,0.0128136608677778,0.0248096632144444,0.01277665648,0.0494119325288889,0.01705663699,0.0127695754633333,0.0128623024011111
"DSNY_043",0.725256086555556,0.0133366727077778,0.0134602603401222,0.0132397379006222,0.0133514312948222,0.0134468224102222,0.0134770782101111,0.013424685804,0.0168686255131111,0.013295630521,0.0132198880948889,0.0136146590241111,0.0135118468102778,0.0134587113392889,0.0133623185401111,0.0167192194767111,0.0131442867042222,0.013565015931,0.0133586549044444,0.0134856159385889,0.0134027496360222
"HARV_001",0.439488417888889,0.0203902614444444,0.00937085774666667,0.00942211472666667,0.0258313700988889,0.223253340888889,0.0102579029377778,0.00945177022444444,0.01011829898,0.0103559637033333,0.0112448472844444,0.0915736258444445,0.0232009584944444,0.0193188726966667,0.0159777356966667,0.0138621272633333,0.0132772649388889,0.00933242820666667,0.0142201290688889,0.00944544374333333,0.0106062758766667
"HARV_002",0.324174802,0.025463517761,0.00823117039296667,0.00734329854924444,0.0409590002422222,0.230734161488889,0.00740712216816667,0.00739561946217778,0.00749166780955556,0.0074259023784,0.0072884532769,0.186970895955556,0.04768326288,0.0102642225731667,0.0238441369022222,0.00816435062744444,0.0119384015180111,0.0105761177466667,0.0118597944197778,0.00737249296035556,0.00741161308533333
"HARV_004",0.529130216222222,0.0428294834222222,0.0130520176511111,0.01084830072,0.0153965871266667,0.132556783033333,0.0203365292177778,0.0107760567466667,0.0122477306666667,0.0264238861177778,0.0122785020866667,0.0130744519788889,0.0218483013333333,0.0179195515344444,0.0225612999066667,0.0244052629044444,0.0244080392233333,0.0119155890844444,0.0137297090055556,0.0124835423266667,0.0117781566977778
"HARV_010",0.498164968888889,0.0363091510711111,0.0103359807644444,0.01029379655,0.03100639717,0.137172801577778,0.0146100035422222,0.0102942652515556,0.0107452195873333,0.0139300868833333,0.0138986891422222,0.0188457512511111,0.0838088913111111,0.0159864455633333,0.0134335580711111,0.0181111516055556,0.0140111150144444,0.0134572456388889,0.0120779707566667,0.0103006488833333,0.0132058696255556
"HARV_013",0.521852344555556,0.0390681560444444,0.0106499585422222,0.0107819664098889,0.0143627588988889,0.0983721235666667,0.0194739983266667,0.0111868810051111,0.0125385564333333,0.0166751099833333,0.0118139668066667,0.0406246081066667,0.0107554775486667,0.0449611432022222,0.0386282631,0.0195405671422222,0.0266437015611111,0.0117835115766667,0.0164955494088889,0.0105515465988889,0.0132398117377778
"HARV_016",0.627647505555556,0.0272622597122222,0.0127817241326667,0.0120983598885556,0.0157031364692222,0.06591785761,0.0121351983661111,0.0121978837501111,0.0136247264945556,0.0121173591271111,0.0129358274107778,0.0345822947511111,0.0134433599942222,0.0265948367075556,0.0153246850455556,0.0189385353822222,0.0150857259035556,0.0121463837058889,0.01232197271,0.0135284436674444,0.0136119235868889
"HARV_020",0.677848446,0.0324423134388889,0.0146780332277778,0.0130004022711111,0.0133833345033333,0.0138247140044444,0.01429516718,0.0130723110488889,0.0153422638455556,0.0129007537844444,0.0171837465166667,0.0141703248133333,0.0130408488255556,0.0147583714544444,0.0181259277811111,0.01920485352,0.0217633825477778,0.0174974126322222,0.0129016201811111,0.0152866402722222,0.0152791339733333
"HARV_021",0.493641663333333,0.0336861000122222,0.0101819948552222,0.0101416478936667,0.0357478988988889,0.0709961048666667,0.0219490718764444,0.0127770735932222,0.0116712097011111,0.0326441345677778,0.0116012551682222,0.0302346329744444,0.0263915417655556,0.0252034472755556,0.0547262971844444,0.0578551107344444,0.0140873976012222,0.013911515901,0.0102080076887778,0.0101212404568889,0.012222647769
"HARV_033",0.587480807444444,0.0236308540088889,0.0132646819111111,0.0116064963733333,0.0153439503444444,0.0555423737966667,0.01292085586,0.0115904924648889,0.0120517694115556,0.04128130267,0.0116335580478889,0.0325534953566667,0.0120342006288889,0.0543556075566667,0.0115970754777778,0.0261658325355556,0.0125485261477778,0.0116169469968889,0.0178420171611111,0.0115985934715556,0.0133405618444444
"HARV_034",0.603055361444444,0.0313890387624444,0.0115359166990889,0.0115913672552889,0.0198846981722222,0.0362730624393333,0.0128666611094111,0.0117881049842333,0.0116939152448222,0.0689429833166667,0.0138437498351222,0.0199011328971111,0.0116629174372778,0.0304769744976667,0.0113960630667778,0.0173198446523333,0.0116306641100667,0.0227423774706667,0.0187519266877111,0.0115766609791111,0.0116765773038
"HARV_035",0.591209616777778,0.027950139534,0.0113599155802444,0.0115519928718889,0.0173408519548889,0.0643827349516667,0.0124331565055667,0.0124240397954444,0.0138212623937333,0.0225284656356444,0.0113202021648778,0.0125037730387778,0.0187331796438889,0.0112968628593556,0.0116222368106667,0.0743256737466667,0.0144290356063,0.0250935769118889,0.0116033640724444,0.011565218055,0.0125047027199222
"JERC_001",0.562403237333333,0.0458473451044444,0.0120305657355556,0.0111761482592222,0.0218976097788889,0.0995165651333333,0.0120867440022222,0.0111756827485556,0.0119998466904444,0.0126871336296667,0.0111363337155556,0.0250892896055556,0.0171783597777778,0.0123155631355556,0.0140805119066667,0.0269439753588889,0.0310249310811111,0.0156309907488889,0.0177559835703333,0.0168775013788889,0.0111456785032222
"JERC_002",0.519386888444444,0.0198681317455556,0.010494276246,0.0106121532506667,0.0391734172755556,0.161019946811111,0.0121667051713333,0.0105452261594444,0.0124841673911111,0.0105304990633333,0.0106363983018889,0.0184910910475556,0.0157609857046667,0.0275119393255556,0.0148417118394444,0.0137066810101111,0.0291631177088889,0.01733072519,0.0106653202521111,0.0236329828755556,0.01197763047
"JERC_003",0.350752981111111,0.0332801454211111,0.00789627350311111,0.00799209804166667,0.0446745249853333,0.324412383888889,0.0118375392327778,0.00788437459288889,0.00947240765111111,0.014944443069,0.00850185678911111,0.0108067856003333,0.00899804639177778,0.0410715226111111,0.00988659381222222,0.0108550644773333,0.0198791827727778,0.0314368661622222,0.0222269324357778,0.013717956764,0.00947202354955556
"JERC_005",0.450060531444444,0.025262710834,0.00941456576077778,0.009568440618,0.0668296895022222,0.201267158522222,0.0108965404805556,0.0103736618933333,0.00954884465122222,0.00945347110488889,0.00950048956255556,0.0281526659367778,0.0147808395668889,0.0244675808233333,0.00948263970466667,0.0206672391116667,0.0303430494922222,0.0170621150961111,0.00925307279177778,0.024216760051,0.00939792812633333
"JERC_006",0.398603394222222,0.0193409616522222,0.00873002985588889,0.00866052131344444,0.0277000706044444,0.293245103,0.00916015401733333,0.00918261759322222,0.0114896612698889,0.00875686409977778,0.00968266689033333,0.0250202363666667,0.00991360935833333,0.0446860562555556,0.0130522338321111,0.0132429483133333,0.03496602999,0.0103007207884444,0.00870267260677778,0.0267511816855556,0.00881227083644444
"JERC_008",0.572587516111111,0.0174318748725556,0.0110266556517778,0.0111665099284333,0.0212208951953333,0.113011113821111,0.0111062082612556,0.0112084369149222,0.0154990371573333,0.0111893007971111,0.0113565215344,0.039891115264,0.0114752214582222,0.0273674038747778,0.0175380497260444,0.0163152589902556,0.0257584146238889,0.011273141092,0.0111263653841111,0.0185751208428889,0.0138758476887778
"JERC_047",0.451601758111111,0.0305400928026667,0.00928939669562222,0.00935057830881111,0.0802592954966667,0.140062469366667,0.0108762069810444,0.0108911629021889,0.0108525065577778,0.00944524802577778,0.00938738583024444,0.0182881656176889,0.0192808196920889,0.00928167324433333,0.0159900968307778,0.0203990450385556,0.0445251910586667,0.0164196575186667,0.0433443268623333,0.0305367809207778,0.00937814068407778
"JERC_048",0.411416249444444,0.0197659201261111,0.008720982674,0.00879494261144444,0.0398299340955556,0.315300021333333,0.00882621308931111,0.00870659718743333,0.0202074039197778,0.00880536248477778,0.008964255485,0.0171610812083222,0.0107856857513333,0.00872490652723333,0.00883585450278889,0.0191596611151111,0.0195450458997778,0.00878736318665556,0.00960234064814445,0.0292455107639444,0.00881465998264444
"JERC_049",0.105984503577778,0.0208011802633778,0.003363395514218,0.00331863024836222,0.0484201643513333,0.729484120333333,0.00712556701806984,0.00335190084300789,0.0218377444947,0.003291875251201,0.00334857261609444,0.00331581986708231,0.0033524896145,0.00335414757586111,0.00338596538534167,0.0112103464938889,0.00720564410820444,0.00335156302244011,0.00331628366006641,0.00332168877563409,0.00785839549827778
"ORNL_001",0.590420582555556,0.0648655783391333,0.0110315161470767,0.0111013336581956,0.01493294684401,0.0407206073876033,0.0110099998441444,0.0112013866372433,0.0218894610179122,0.0110330819694744,0.0111082025757389,0.0112810106044533,0.0109181210478392,0.0111391050218514,0.01106650914483,0.080580504509,0.0111221410223828,0.0111398819182386,0.0112038466679616,0.0113162312239358,0.0309179543539433
"ORNL_003",0.209018789611111,0.01223409179812,0.005302959952273,0.00527116506771889,0.00887458339991556,0.532376894777778,0.00760256448247333,0.00512527964262778,0.00521471630806222,0.00528928060233222,0.00525550823567556,0.00656669138292922,0.104527944675556,0.00535533317859634,0.0384257393532333,0.00969873509327556,0.0114194511278311,0.00532677777745444,0.00529646196974011,0.00661142827793111,0.00520560838998778
"ORNL_021",0.683384366333333,0.0622785350996667,0.0126147852071333,0.0123509648345043,0.0121916564598089,0.0122624828475333,0.0124876714002822,0.0124898802070578,0.0193476182090611,0.0126344255304378,0.0124005455102144,0.0124679874917217,0.0123998560126459,0.0124893686803589,0.0125016710702056,0.01659933571725,0.0120771112420478,0.01264825660846,0.01243637163319,0.0126218056631004,0.01931530353983
"ORNL_029",0.347616175888889,0.0875940573514667,0.00761343846859122,0.00753283022341344,0.00750297478535067,0.0137828877191533,0.0147792332502111,0.00765582065464578,0.00752667570637889,0.00763509631323289,0.0106463846042407,0.00752992760035222,0.00909968564913667,0.0133905140160822,0.236633810477778,0.0207149737811644,0.150268382314444,0.00755671282271133,0.0136037276372322,0.00764252807245556,0.0136741615217711
"ORNL_031",0.671609921333333,0.0741999952551778,0.0123540063702989,0.0124028877557356,0.0122738905624411,0.0121296337749644,0.0121657265254596,0.01231212232318,0.0163845716907989,0.0123649585690722,0.0144877349037744,0.0145771082399856,0.0123430835667653,0.0124136541730478,0.0123588738004478,0.0218438009187189,0.0123839356000333,0.0122120189769244,0.01227851993396,0.0124378596410822,0.0144656998357778
"ORNL_037",0.265799683111111,0.0101077363503267,0.00616461357347389,0.00632091737918333,0.0154455385308139,0.202636006888889,0.00616392760671878,0.00622793574545313,0.00627779001863539,0.00615293097458667,0.00618282575781467,0.00895681810606178,0.282416949644444,0.0169804526618819,0.00995577883014122,0.0111719939229822,0.0137338838976063,0.0979140042744444,0.006197576009972,0.00891746343899444,0.00627516688297667
"ORNL_043",0.0857215808888889,0.0106724582343656,0.00286094117047867,0.00297608851869811,0.0478690875331111,0.357090344666667,0.00293065937206556,0.00294947267271822,0.00294202220989067,0.00299892469510568,0.00292977862514367,0.451733874333333,0.002931523800896,0.00293671277033333,0.00298897645489944,0.00288479910730711,0.002953375852325,0.00293036322605216,0.00293603545843667,0.00290574667653556,0.00285723177269989
"OSBS_001",0.454170602111111,0.159481810433333,0.00974134848555556,0.00965499848111111,0.0154696712511111,0.159084522377778,0.0200104611911111,0.00956799617411111,0.0247570756,0.00959960180555556,0.0101853580911111,0.00950932065333333,0.0144778987233333,0.00965313857544444,0.00964143139,0.0205581631022222,0.0126037201422222,0.0109686804711111,0.00964091296866667,0.00961823324222222,0.0116050540311111
"OSBS_002",0.385795321888889,0.00950450625555556,0.00865063543677778,0.00865240684622222,0.0492548260555556,0.360120195111111,0.00959836228288889,0.0100802387048889,0.0118602598255556,0.00851990021466667,0.00851360301966667,0.0119778804788889,0.0131926565333333,0.00855069284377778,0.0107312233022222,0.02072718336,0.0219367230322222,0.0146348197266667,0.00852964204966667,0.0106445089104444,0.00852441515588889
"OSBS_003",0.218521930888889,0.0126345701722222,0.00571851694555556,0.00566097657877778,0.0228850924311111,0.562671149333333,0.00566384293333333,0.00640179208277778,0.0134536510676667,0.0139258549942222,0.00566917773566667,0.00569971961277778,0.0518626387777778,0.00570608814666667,0.00568937413555556,0.00956791650011111,0.0251433165322222,0.00568146883711111,0.00561437005655556,0.00616891776744444,0.00565962996755556
"OSBS_022",0.718364836888889,0.0131447436248889,0.0135025360761111,0.0131020993345556,0.0143174947254444,0.013176214395,0.0150782683306556,0.0134742052277778,0.0144753786124222,0.0133978721527556,0.0132498070678222,0.0134116206046667,0.0133328168162222,0.0134568054429333,0.0132892988793111,0.0248525812007778,0.0131537450083667,0.013221856431,0.013359247473,0.0131765299037556,0.0134620382127778
"SCBI_002",0.591517973777778,0.1193082018,0.0125130775966667,0.01169799299,0.0128652343111111,0.0168867575666667,0.0131013241966667,0.0115830188155556,0.0251582104555556,0.0153299526166667,0.01921739922,0.0116164257055556,0.0116743252388889,0.0156324857433333,0.0141628247088889,0.0203005289866667,0.0154710242466667,0.0118153877966667,0.0135847619322222,0.0116990470077778,0.0248640495233333
"SCBI_003",0.464883035444444,0.0803169841555556,0.0118298934766667,0.00985481395222222,0.0104530218577778,0.0992552567333333,0.0113372410998889,0.00967743760555556,0.0140951517444444,0.0126684002511111,0.0225942192622222,0.01275130636,0.0100289114644444,0.0733970274222222,0.0628768115,0.0142901256677778,0.03641050735,0.00985798701111111,0.0128755332955556,0.0101139025844444,0.0104324281366667
"SCBI_006",0.597532284777778,0.104825645866667,0.0119108800766667,0.0117926587855556,0.0118663905888889,0.01184317841,0.0150047903044444,0.0117330808111111,0.0660715647222222,0.0117670729488889,0.0121113087866667,0.0117884578711111,0.01230813544,0.0119597140122222,0.0118264868733333,0.0213480290411111,0.0126584517522222,0.0123425922077778,0.0118680191044444,0.0118034435466667,0.0156378215077778
"SCBI_012",0.612894531,0.0927646458888889,0.0120414342722222,0.0121131027477778,0.0120473141866667,0.0122677486,0.0134772839244444,0.0120129577122222,0.0277936848111111,0.0120293332955556,0.0174221269522222,0.0124737999711111,0.0120218371188889,0.0122069203266667,0.0120440832211111,0.0408032195333333,0.0121951893266667,0.0120256486,0.0126972812577778,0.0123334930266667,0.02433436179
"SCBI_033",0.588525656111111,0.155284677722222,0.0156657584247778,0.0115157631763333,0.0115415729415556,0.0115381365275556,0.0133502735211111,0.0116326905367778,0.0159986057888889,0.0116221100101111,0.0220418278423333,0.0115497954588889,0.0135262027124444,0.0115793408255556,0.0116429008472222,0.0186898808117778,0.0115405613856667,0.0114413601556667,0.0156360315146667,0.0115761800768889,0.0141006738052222
