"","other","Mortierellaceae","Piskurozymaceae","Trimorphomycetaceae","Umbelopsidaceae","Russulaceae","Hypocreaceae","Aspergillaceae","Herpotrichiellaceae","Clavulinaceae","Chaetomiaceae","Atheliaceae","Cortinariaceae","Inocybaceae","Sebacinaceae","Helotiaceae","Thelephoraceae","Tricholomataceae","Pyronemataceae","Gloniaceae","Helotiales_fam_Incertae_sedis"
"BART",0.510878886111111,0.0499806081777778,0.0174793965011111,0.0152701326823333,0.0230448631633333,0.0427339811866667,0.0228960553355556,0.0152497396698889,0.0159265536173333,0.0218815984222222,0.0165081151322222,0.0218229144577778,0.0197582503311111,0.0241114520766667,0.0484181946888889,0.0288368521744444,0.0317852551644444,0.0152898929085556,0.0157142343675556,0.0233384941611111,0.01907452835
"CPER",0.514835756555556,0.144658964577778,0.01902021713,0.0160216308333333,0.0160181246166667,0.0158904628733333,0.0187376452155556,0.0163623715144444,0.0209301091566667,0.0169793281411111,0.0296760264422222,0.0161486238922222,0.0159531190666667,0.0159439401855556,0.0159944254766667,0.0202415335611111,0.01595766421,0.01874480807,0.0185288067633333,0.01596081122,0.0173956298844444
"DSNY",0.590805978555556,0.0216908207477778,0.0184340062333333,0.0183643747811111,0.0185526505866667,0.0258469201022222,0.0225995135066667,0.0186884356011111,0.0203933752022222,0.02012299891,0.0188000362855556,0.01955404809,0.0200291839777778,0.0188678143577778,0.0184408906055556,0.0281979797222222,0.0205208638788889,0.0222771989533333,0.0199606818,0.0190083209677778,0.0188439055077778
"HARV",0.503455868777778,0.0351080357666667,0.0161569339377778,0.0155259068466667,0.0254981064666667,0.0836277953555556,0.0186041356455556,0.01586267494,0.0165225615466667,0.0242787112855556,0.01685812714,0.0351946113111111,0.0253560259222222,0.0265216874,0.0236581568444444,0.0272885828666667,0.0205168491733333,0.01876975705,0.0183809862911111,0.0158018794111111,0.0170126052944444
"JERC",0.421010692444444,0.0286916353555556,0.0125338905277778,0.0125897953244444,0.0434088784,0.221293373777778,0.0143329597877778,0.0128195863733333,0.0172019516366667,0.0132697199922222,0.0126580984422222,0.0213864678033333,0.0153754659044444,0.02089722374,0.0150274920488889,0.0203138457677778,0.0285202035777778,0.0166310378988889,0.0160057370266667,0.0220701070933333,0.0139618381277778
"ORNL",0.596946767777778,0.0375527949333333,0.0128522367611111,0.0129049983677778,0.0197043577533333,0.0665640806,0.0139946249366667,0.0128297719733333,0.0146399935711111,0.0129329410844444,0.0133899142733333,0.0224841092844444,0.0255073079155556,0.0147831059044444,0.0228847845766667,0.0208093259866667,0.0196627537877778,0.0165971178555556,0.01355076174,0.0137317657722222,0.0156764841411111
"OSBS",0.526252666444444,0.0267997055655556,0.0134786442577778,0.0134394696521111,0.0267851237633333,0.146978516244444,0.0158975131922222,0.0140670514893333,0.0202105428566667,0.0156807684711111,0.01356899858,0.0142629468366667,0.0235033683611111,0.0135913777766667,0.01413675731,0.0224994628677778,0.0219368525722222,0.0152447420144444,0.0135376958177778,0.0141437884941111,0.0139840100144444
"SCBI",0.517557997777778,0.110116393044444,0.0181919640822222,0.0163510795244444,0.0164860567788889,0.0228259104466667,0.0180641986888889,0.0161785566944444,0.0284321296466667,0.0171979427055556,0.0231105785944444,0.0168224762744444,0.0167802659022222,0.02174058265,0.0209395507866667,0.0262887880966667,0.0199793217211111,0.0164115088866667,0.0183575302844444,0.0164148648277778,0.02175230056
"STER",0.526057708222222,0.122698627555556,0.0294478328333333,0.0167478281577778,0.0167122181133333,0.01726973177,0.0173520575766667,0.0166299108144444,0.0178976605188889,0.0166935177166667,0.0222182103588889,0.0167881057122222,0.0166617958044444,0.0166241884288889,0.0166700815877778,0.0247620473222222,0.0165807198622222,0.0175201137977778,0.0196781981944444,0.0165725400322222,0.0184169050277778
"TALL",0.423657646,0.0346107976222222,0.0134902992666667,0.0129042067266667,0.0528639850555556,0.203012180333333,0.01326589171,0.0129570911633333,0.0135894983722222,0.0138497493022222,0.0130115506633333,0.0228014557133333,0.0172743922922222,0.0208196108477778,0.0166806324011111,0.0186324594555556,0.0366826063,0.0167121634088889,0.01322442937,0.0145776436088889,0.0153817039733333
"UNDE",0.526820882444444,0.0573993892555556,0.0304512641111111,0.0154187364977778,0.0191738070966667,0.0438210686,0.0164111195511111,0.0155294330811111,0.0168202086066667,0.0224402703222222,0.0192930213677778,0.0214229222277778,0.0176207995277778,0.0287123042333333,0.0194638211555556,0.0241006789888889,0.0332105383555556,0.0187659520544444,0.0178312361166667,0.0153457419833333,0.0199468048088889
"WOOD",0.481891350666667,0.179529690333333,0.0188624119011111,0.0154617563311111,0.0158448958033333,0.0162725848777778,0.0154294562388889,0.0154276053477778,0.0204067634,0.0156428226855556,0.0211469140811111,0.0162577664611111,0.0154842199511111,0.0154789719366667,0.0154150593033333,0.0333580056444444,0.0163635689877778,0.0189460843788889,0.0193449552466667,0.0154679294788889,0.0179671894566667
