"","other","Saprotroph","Ectomycorrhizal","Wood_Saprotroph","Animal_Pathogen","Plant_Pathogen"
"BART_001-M-22-32-20140722",0.278330019880716,0.169980119284294,0.547713717693837,0.00198807157057654,0.00099403578528827,0.00099403578528827
"BART_001-M-7-0-20140722",0.0884691848906561,0.34493041749503,0.54572564612326,0.0129224652087475,0.00099403578528827,0.00695825049701789
"BART_001-O-30-37-20140722",0.00099403578528827,0.00795228628230616,0.988071570576541,0.00099403578528827,0.00099403578528827,0.00099403578528827
"BART_001-O-7-0-20140722",0.772365805168986,0.0755467196819085,0.143141153081511,0.00695825049701789,0.00099403578528827,0.00099403578528827
"BART_004-M-25-6-20140722",0.380715705765408,0.147117296222664,0.441351888667992,0.0288270377733598,0.00099403578528827,0.00099403578528827
"BART_004-O-25-6-20140722",0.0487077534791252,0.0516898608349901,0.797216699801193,0.0934393638170974,0.00099403578528827,0.00795228628230616
"BART_006-M-15-7-20140722",0.261431411530815,0.501988071570577,0.216699801192843,0.0178926441351889,0.00099403578528827,0.00099403578528827
"BART_006-M-33-11-20140722",0.185884691848907,0.493041749502982,0.288270377733598,0.0178926441351889,0.00198807157057654,0.0129224652087475
"BART_006-M-33-3-20140619",0.0964214711729622,0.686878727634195,0.21272365805169,0.00099403578528827,0.00099403578528827,0.00198807157057654
"BART_006-O-4-7-20140722",0.0407554671968191,0.0497017892644135,0.904572564612326,0.00298210735586481,0.00099403578528827,0.00099403578528827
"CPER_001-M-22-32-20140812",0.352882703777336,0.416500994035785,0.0437375745526839,0.073558648111332,0.00099403578528827,0.112326043737575
"CPER_001-M-30-37-20140812",0.345924453280318,0.308151093439364,0.0705765407554672,0.130218687872763,0.0308151093439364,0.114314115308151
"CPER_001-M-7-0-20140812",0.601391650099404,0.228628230616302,0.0188866799204771,0.0825049701789264,0.00397614314115308,0.0646123260437376
"CPER_002-M-10-34-20140812",0.781312127236581,0.10934393638171,0.0129224652087475,0.0387673956262425,0.0099403578528827,0.047713717693837
"CPER_002-M-25-6-20140812",0.342942345924453,0.464214711729622,0.00695825049701789,0.114314115308151,0.0149105367793241,0.0566600397614314
"CPER_002-M-9-4-20140812",0.181908548707753,0.462226640159046,0.00099403578528827,0.251491053677932,0.0407554671968191,0.062624254473161
"CPER_003-M-15-7-20140812",0.333001988071571,0.365805168986084,0.00596421471172962,0.249502982107356,0.00596421471172962,0.0397614314115308
"CPER_003-M-33-11-20140812",0.13817097415507,0.288270377733598,0.0546719681908549,0.45427435387674,0.00298210735586481,0.0616302186878728
"CPER_003-M-4-7-20140812",0.209741550695825,0.509940357852883,0.0556660039761431,0.129224652087475,0.00099403578528827,0.0944333996023857
"CPER_004-M-0-30-20140812",0.330019880715706,0.428429423459245,0.00894632206759443,0.0964214711729622,0.00099403578528827,0.135188866799205
