"","other","Saprotroph","Ectomycorrhizal","Wood_Saprotroph","Animal_Pathogen","Plant_Pathogen"
"BART",0.215182972,0.175496641311111,0.460234571777778,0.0638671630933333,0.0405473334902222,0.0446713165755556
"CPER",0.203941652222222,0.396810432,0.0630383898222222,0.1631149745,0.0527914230811111,0.120303114666667
"DSNY",0.435256198666667,0.146689306777778,0.156753435511111,0.0931391748111111,0.0751810447444444,0.0929808379333333
"HARV",0.247189907222222,0.185528262933333,0.417811551333333,0.0553232577111111,0.0460800008888889,0.0480670167888889
"JERC",0.164888082222222,0.222572349555556,0.500845835111111,0.0434877985444444,0.0314828219144444,0.0367231174388889
"ORNL",0.386028473111111,0.156767325388889,0.278388120555556,0.0656727856,0.0576349596866667,0.0555083219722222
"OSBS",0.320997978222222,0.124396746511111,0.407078460444444,0.0526904074344444,0.0441235856722222,0.0507128225211111
"SCBI",0.2988796,0.370626907777778,0.0983128083888889,0.0873484316777778,0.0690307852222222,0.0758014567844444
"STER",0.155440165555556,0.357950636111111,0.0391939018444444,0.205640992888889,0.0332361950755556,0.208538100666667
"TALL",0.167302006111111,0.203874541444444,0.529990845666667,0.0367612885777778,0.0304958512622222,0.0315754686955556
"UNDE",0.272050199444444,0.346185364333333,0.217237854777778,0.0554877694,0.0534742680666667,0.0555645470777778
"WOOD",0.237194945,0.442232695111111,0.0690012424666667,0.0987447020777778,0.0514060404666667,0.101420377822222
