"","other","Mortierella","Solicoccozyma","Saitozyma","Umbelopsis","Russula","Trichoderma","Penicillium","Cortinarius","Inocybe","Sebacina","Lactarius","Cladophialophora","Tomentella","Mycena","Cenococcum"
"BART_001-M-22-32-20140722",0.376968503937008,0.0541338582677165,0.00688976377952756,0.000984251968503937,0.078740157480315,0.104330708661417,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.209645669291339,0.030511811023622,0.000984251968503937,0.000984251968503937,0.130905511811024,0.000984251968503937,0.000984251968503937
"BART_001-M-7-0-20140722",0.726377952755906,0.0344488188976378,0.00196850393700787,0.000984251968503937,0.0255905511811024,0.0413385826771654,0.00196850393700787,0.000984251968503937,0.0108267716535433,0.102362204724409,0.0383858267716535,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.0108267716535433
"BART_001-O-30-37-20140722",0.937992125984252,0.00393700787401575,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.00492125984251968,0.000984251968503937,0.000984251968503937,0.0147637795275591,0.000984251968503937,0.0275590551181102,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937
"BART_001-O-7-0-20140722",0.820866141732283,0.0511811023622047,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.115157480314961
"BART_004-M-25-6-20140722",0.707677165354331,0.093503937007874,0.000984251968503937,0.000984251968503937,0.00688976377952756,0.0236220472440945,0.00688976377952756,0.000984251968503937,0.0147637795275591,0.0383858267716535,0.0875984251968504,0.00688976377952756,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.0078740157480315
"BART_004-O-25-6-20140722",0.568897637795276,0.0383858267716535,0.00492125984251968,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.0856299212598425,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.207677165354331,0.0393700787401575,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.046259842519685
"BART_006-M-15-7-20140722",0.884842519685039,0.046259842519685,0.00393700787401575,0.000984251968503937,0.000984251968503937,0.00295275590551181,0.00688976377952756,0.000984251968503937,0.00688976377952756,0.000984251968503937,0.00393700787401575,0.0364173228346457,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937
"BART_006-M-33-11-20140722",0.681102362204724,0.0433070866141732,0.000984251968503937,0.000984251968503937,0.0748031496062992,0.125,0.000984251968503937,0.000984251968503937,0.00393700787401575,0.0521653543307087,0.00590551181102362,0.000984251968503937,0.00295275590551181,0.00393700787401575,0.000984251968503937,0.000984251968503937
"BART_006-M-33-3-20140619",0.757874015748031,0.0127952755905512,0.000984251968503937,0.000984251968503937,0.0915354330708661,0.0403543307086614,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.0866141732283465,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937
"BART_006-O-4-7-20140722",0.976377952755906,0.00393700787401575,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.00295275590551181,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.00492125984251968,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937
"CPER_001-M-22-32-20140812",0.856299212598425,0.111220472440945,0.00984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.0108267716535433,0.000984251968503937
"CPER_001-M-30-37-20140812",0.857283464566929,0.108267716535433,0.00984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.0127952755905512,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937
"CPER_001-M-7-0-20140812",0.936023622047244,0.0501968503937008,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937
"CPER_002-M-10-34-20140812",0.927165354330709,0.0561023622047244,0.00393700787401575,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937
"CPER_002-M-25-6-20140812",0.84251968503937,0.140748031496063,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.00393700787401575,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937
"CPER_002-M-9-4-20140812",0.887795275590551,0.0954724409448819,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.00393700787401575,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937
"CPER_003-M-15-7-20140812",0.542322834645669,0.214566929133858,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.0127952755905512,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.218503937007874,0.000984251968503937
"CPER_003-M-33-11-20140812",0.882874015748031,0.0836614173228346,0.00984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.0118110236220472,0.000984251968503937,0.000984251968503937,0.000984251968503937
"CPER_003-M-4-7-20140812",0.848425196850394,0.0856299212598425,0.00590551181102362,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.0108267716535433,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.0383858267716535,0.000984251968503937
"CPER_004-M-0-30-20140812",0.853346456692913,0.131889763779528,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.00196850393700787,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937
