"","other","Mortierella","Solicoccozyma","Saitozyma","Umbelopsis","Russula","Trichoderma","Penicillium","Cortinarius","Inocybe","Sebacina","Lactarius","Cladophialophora","Tomentella","Mycena","Cenococcum"
"BART_001",0.735800469111111,0.0391820738144444,0.01255486311,0.010479590495,0.0199730006033333,0.0260006935288889,0.0109615123713333,0.0106304500578889,0.0155225459388889,0.0260621103466667,0.0272383091866667,0.0105764248755556,0.0104948509006667,0.0150578307422222,0.0106445442894444,0.0188207241966667
"BART_004",0.589574010333333,0.0683568671322222,0.0111549339614,0.00887074396166667,0.0118489459011111,0.0147314641956667,0.0342980662188556,0.00880260187144444,0.0134450702572222,0.0162582938833333,0.139291114611111,0.0274172914937778,0.00888942441686667,0.00882011293805555,0.00870039841288889,0.0295406587475556
"BART_006",0.762310608666667,0.0325585330222222,0.0117896353907778,0.0108348293968889,0.0234169616033333,0.0255088152333333,0.0133720890376667,0.0109540895622222,0.0137003159044444,0.01450125695,0.0201848478223333,0.0158038532201111,0.0117150340758889,0.011866653771,0.0107470568078889,0.0107354208587778
"CPER_001",0.743836268111111,0.0959031831555556,0.0170379773264444,0.0105646722491111,0.0105681294247778,0.0104515146027778,0.0135374295675556,0.0106880441576667,0.0106434377898889,0.0105199633341111,0.0104689486523333,0.0105851811343333,0.0106791686505556,0.0105632334055556,0.0133407270946667,0.0106121198133333
"CPER_002",0.744797797777778,0.102405766611111,0.0119968308303333,0.0105933817531111,0.0105696877265556,0.0107206989768889,0.0137750537324444,0.0105130364992222,0.0105441982012222,0.0105381409052222,0.0106918273522222,0.0106416454791111,0.0105741359845778,0.0105692034277778,0.0105249151823333,0.0105436836438889
"CPER_003",0.695925282111111,0.125176536711111,0.0152571789508889,0.0101348602421111,0.0101444092672222,0.0100493418186667,0.0170151730324444,0.0100654733876667,0.0101686533852222,0.00999083501722222,0.0101177915191111,0.0100062398775556,0.0128260596894444,0.0101259670305556,0.0329271824766667,0.010069014513
"CPER_004",0.781881762,0.0636245805255556,0.0109265988326667,0.0110617245182222,0.0110424158011111,0.0109277315528889,0.0116594705982222,0.0109300626251111,0.0109047067941889,0.0111257290962222,0.0110627361384444,0.0110356748843333,0.0108829972393333,0.0109261342366667,0.0109300868376667,0.0110775909
"CPER_007",0.597313705444444,0.274112204511111,0.00881877077538111,0.00888986125723444,0.00858796813742962,0.00859792974225222,0.0119151239980767,0.00879507130389029,0.00870915972317667,0.00860800714197,0.00865051306641322,0.00878301112256889,0.012185729247938,0.00859527496690778,0.00879336548060033,0.00864429118589978
"CPER_047",0.562064091444444,0.317595947711111,0.0126481206505244,0.00813485576185222,0.00824491971197156,0.00840492811315433,0.00823477475380678,0.00842200502298444,0.00825981571794667,0.00827438806832989,0.00828308531013667,0.00805967712095522,0.00822403161947444,0.00833661260547578,0.00839874927282778,0.00841399576518889
"DSNY_001",0.733143676888889,0.01391934683,0.0105418227666667,0.0105897400433333,0.0109678533233333,0.0960350636333333,0.0167314764611111,0.0105959970744444,0.0130290859633333,0.0121253747833333,0.01055232953,0.01064807611,0.0107119763522222,0.0168251065222222,0.0105814798122222,0.0130015869888889
