"","other","Mortierella","Solicoccozyma","Saitozyma","Umbelopsis","Russula","Trichoderma","Penicillium","Cortinarius","Inocybe","Sebacina","Lactarius","Cladophialophora","Tomentella","Mycena","Cenococcum"
"BART",0.665542423333333,0.0479826836333333,0.0159128236412222,0.0141344338488889,0.0216632705211111,0.0253189416377778,0.0211481972105556,0.0143692345145556,0.0181781170938889,0.0222971751244444,0.0460351823666667,0.02068618374,0.0144997802852222,0.0158784237323333,0.0142103359277778,0.0221427894566667
"CPER",0.649836010444444,0.141129930944444,0.0170147237433333,0.0142246588944444,0.0143204524044444,0.0142815789233333,0.0168669881966667,0.0142857392033333,0.0143184814044444,0.0142797728333333,0.0143052454711111,0.0142543990955556,0.0152703585177778,0.0142668267833333,0.0170988247877778,0.0142460114355556
"DSNY",0.739148967333333,0.0195269236066667,0.01632470734,0.01631756773,0.0164533366522222,0.0228868628244444,0.0200900400844444,0.0162966801188889,0.0167802727711111,0.0165023957522222,0.0162669478044444,0.0163934336866667,0.0164977486622222,0.0174066122155556,0.0163508417233333,0.0167566673666667
"HARV",0.666948680666667,0.0343103621333333,0.01556082253,0.0150241533411111,0.0243524806777778,0.0541322708444444,0.0173904288322222,0.0150491898566667,0.024148736,0.0258654767888889,0.0227282068777778,0.02106653291,0.0150960876144444,0.0178651128066667,0.0150918176033333,0.0153696427133333
"JERC",0.589167222444444,0.0279882205333333,0.0123459528355556,0.0121995625611111,0.0424978416888889,0.161578068111111,0.0138208212033333,0.0121762289322222,0.0148603334088889,0.0199669417133333,0.0145106427388889,0.0147319521366667,0.0133576507044444,0.0166059738544444,0.0126743571922222,0.0215182319544444
"ORNL",0.693626977555556,0.0382609729666667,0.0126595881355556,0.0127648406377778,0.0180693383788889,0.0557460812,0.0139329512666667,0.0125585423933333,0.0263683373077778,0.01476865432,0.0234146733144444,0.0199587856422222,0.0126974930555556,0.0192014582155556,0.0125689564466667,0.0134023511788889
"OSBS",0.682307800111111,0.0288071290844444,0.0141560962588889,0.0142439152282222,0.0272293711377778,0.0425981027777778,0.0170400574,0.0144614495555556,0.0232143997733333,0.0143096698755556,0.0148916274744444,0.0394621057444444,0.0187716211333333,0.01904608795,0.0144396926388889,0.0150208818277778
"SCBI",0.663128668111111,0.1078774474,0.0166130603777778,0.0148248112977778,0.0150861857433333,0.0209170981222222,0.0162948148833333,0.01489148741,0.0153894726933333,0.0198660124277778,0.0186556790855556,0.0149436750244444,0.0147609509122222,0.0170875881977778,0.0147924961222222,0.0148705527366667
"STER",0.660689196111111,0.1170412624,0.0270178734444444,0.0148088152011111,0.0148437142155556,0.0152830633388889,0.01552050862,0.0148117426088889,0.0148041126966667,0.0148317209922222,0.0148977710644444,0.0150560702911111,0.0157915726866667,0.0148671573844444,0.0148436174833333,0.0148917995033333
"TALL",0.628896601555556,0.0366550328111111,0.0143496104311111,0.0139469748566667,0.0552568374111111,0.0627758718,0.0142762962211111,0.0139785186355556,0.0182403869733333,0.02173195156,0.0180379086988889,0.0346612917111111,0.0142670026922222,0.02286990364,0.0144846533144444,0.0155711590166667
"UNDE",0.674206042666667,0.0550828691888889,0.0285989973444444,0.0142570195288889,0.0178483298422222,0.0344290366555556,0.0153116436488889,0.0144232452333333,0.0163290921322222,0.0265497303,0.0179198835811111,0.0172253192811111,0.0144212287011111,0.0248405103666667,0.01428385888,0.0142731953077778
"WOOD",0.618995038,0.179537070555556,0.0171786336622222,0.0141081696155556,0.0144389969522222,0.0145604481111111,0.0140884176955556,0.0141634323311111,0.0140556982888889,0.0141455271555556,0.0140225990166667,0.0141922078855556,0.0140080522144444,0.0140422230377778,0.0144091844788889,0.0140542896833333
