"","other","Mortierellales","Filobasidiales","Tremellales","Umbelopsidales","Russulales","Hypocreales","Eurotiales","Chaetothyriales","Cantharellales","Sordariales","Atheliales","Agaricales","Sebacinales","Helotiales","Thelephorales","Pezizales","Boletales","Pleosporales","Mytilinidales"
"BART_001-M-22-32-20140722",0.277450980392157,0.053921568627451,0.00686274509803922,0.000980392156862745,0.0784313725490196,0.103921568627451,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.0352941176470588,0.00196078431372549,0.000980392156862745,0.212745098039216,0.0303921568627451,0.0303921568627451,0.135294117647059,0.00784313725490196,0.0186274509803922,0.000980392156862745,0.000980392156862745
"BART_001-M-7-0-20140722",0.0852941176470588,0.0343137254901961,0.00196078431372549,0.000980392156862745,0.0254901960784314,0.0411764705882353,0.00686274509803922,0.0470588235294118,0.000980392156862745,0.0843137254901961,0.00784313725490196,0.0235294117647059,0.420588235294118,0.0382352941176471,0.106862745098039,0.057843137254902,0.00392156862745098,0.000980392156862745,0.000980392156862745,0.0107843137254902
"BART_001-O-30-37-20140722",0.00196078431372549,0.00392156862745098,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.00490196078431373,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.82156862745098,0.000980392156862745,0.103921568627451,0.0147058823529412,0.0274509803921569,0.00588235294117647,0.00490196078431373,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.000980392156862745
"BART_001-O-7-0-20140722",0.767647058823529,0.0509803921568627,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.0166666666666667,0.00196078431372549,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.0323529411764706,0.000980392156862745,0.00294117647058824,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.114705882352941
"BART_004-M-25-6-20140722",0.393137254901961,0.0931372549019608,0.000980392156862745,0.000980392156862745,0.00686274509803922,0.0294117647058824,0.00980392156862745,0.000980392156862745,0.000980392156862745,0.00196078431372549,0.000980392156862745,0.00882352941176471,0.287254901960784,0.0872549019607843,0.0509803921568627,0.00686274509803922,0.00490196078431373,0.00588235294117647,0.000980392156862745,0.00784313725490196
"BART_004-O-25-6-20140722",0.0509803921568627,0.0382352941176471,0.00490196078431373,0.000980392156862745,0.000980392156862745,0.0392156862745098,0.0941176470588235,0.000980392156862745,0.00392156862745098,0.0147058823529412,0.000980392156862745,0.00196078431372549,0.325490196078431,0.206862745098039,0.0196078431372549,0.145098039215686,0.00196078431372549,0.00196078431372549,0.000980392156862745,0.046078431372549
"BART_006-M-15-7-20140722",0.370588235294118,0.046078431372549,0.00392156862745098,0.000980392156862745,0.000980392156862745,0.0382352941176471,0.00784313725490196,0.000980392156862745,0.00294117647058824,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.316666666666667,0.00392156862745098,0.0558823529411765,0.00196078431372549,0.000980392156862745,0.143137254901961,0.000980392156862745,0.000980392156862745
"BART_006-M-33-11-20140722",0.0931372549019608,0.0431372549019608,0.000980392156862745,0.000980392156862745,0.0745098039215686,0.124509803921569,0.00294117647058824,0.000980392156862745,0.00392156862745098,0.0441176470588235,0.00686274509803922,0.00686274509803922,0.409803921568627,0.00588235294117647,0.133333333333333,0.00490196078431373,0.00196078431372549,0.0392156862745098,0.000980392156862745,0.000980392156862745
"BART_006-M-33-3-20140619",0.0725490196078431,0.0127450980392157,0.000980392156862745,0.000980392156862745,0.0911764705882353,0.0401960784313726,0.00294117647058824,0.000980392156862745,0.000980392156862745,0.00784313725490196,0.000980392156862745,0.0156862745098039,0.57156862745098,0.0862745098039216,0.0245098039215686,0.0107843137254902,0.000980392156862745,0.0558823529411765,0.000980392156862745,0.000980392156862745
"BART_006-O-4-7-20140722",0.0127450980392157,0.00392156862745098,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.00490196078431373,0.00294117647058824,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.0882352941176471,0.000980392156862745,0.00294117647058824,0.000980392156862745,0.000980392156862745,0.87156862745098,0.000980392156862745,0.000980392156862745
"CPER_001-M-22-32-20140812",0.254901960784314,0.11078431372549,0.0107843137254902,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.0529411764705882,0.000980392156862745,0.0225490196078431,0.0186274509803922,0.0235294117647059,0.000980392156862745,0.100980392156863,0.000980392156862745,0.0941176470588235,0.000980392156862745,0.0431372549019608,0.000980392156862745,0.258823529411765,0.000980392156862745
"CPER_001-M-30-37-20140812",0.338235294117647,0.107843137254902,0.00980392156862745,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.112745098039216,0.000980392156862745,0.0323529411764706,0.0176470588235294,0.0990196078431373,0.000980392156862745,0.137254901960784,0.000980392156862745,0.0401960784313726,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.0950980392156863,0.000980392156862745
"CPER_001-M-7-0-20140812",0.25,0.0568627450980392,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.104901960784314,0.108823529411765,0.00294117647058824,0.00196078431372549,0.0264705882352941,0.000980392156862745,0.0196078431372549,0.000980392156862745,0.0127450980392157,0.000980392156862745,0.00294117647058824,0.000980392156862745,0.403921568627451,0.000980392156862745
"CPER_002-M-10-34-20140812",0.755882352941176,0.0558823529411765,0.00882352941176471,0.00196078431372549,0.000980392156862745,0.000980392156862745,0.0215686274509804,0.000980392156862745,0.000980392156862745,0.0166666666666667,0.0774509803921569,0.000980392156862745,0.00784313725490196,0.000980392156862745,0.00392156862745098,0.000980392156862745,0.00784313725490196,0.000980392156862745,0.0333333333333333,0.000980392156862745
"CPER_002-M-25-6-20140812",0.374509803921569,0.140196078431373,0.00490196078431373,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.0323529411764706,0.000980392156862745,0.0127450980392157,0.00980392156862745,0.266666666666667,0.000980392156862745,0.05,0.000980392156862745,0.0705882352941176,0.000980392156862745,0.00196078431372549,0.000980392156862745,0.0274509803921569,0.000980392156862745
"CPER_002-M-9-4-20140812",0.359803921568627,0.0950980392156863,0.00980392156862745,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.0431372549019608,0.000980392156862745,0.0117647058823529,0.0343137254901961,0.092156862745098,0.000980392156862745,0.164705882352941,0.000980392156862745,0.0166666666666667,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.162745098039216,0.000980392156862745
"CPER_003-M-15-7-20140812",0.27843137254902,0.213725490196078,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.0274509803921569,0.000980392156862745,0.000980392156862745,0.0352941176470588,0.0186274509803922,0.000980392156862745,0.296078431372549,0.000980392156862745,0.0774509803921569,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.0411764705882353,0.000980392156862745
"CPER_003-M-33-11-20140812",0.119607843137255,0.0833333333333333,0.0127450980392157,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.0823529411764706,0.000980392156862745,0.0186274509803922,0.00490196078431373,0.0754901960784314,0.000980392156862745,0.326470588235294,0.00196078431372549,0.0176470588235294,0.000980392156862745,0.0382352941176471,0.000980392156862745,0.21078431372549,0.000980392156862745
"CPER_003-M-4-7-20140812",0.155882352941176,0.0852941176470588,0.00588235294117647,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.102941176470588,0.000980392156862745,0.123529411764706,0.0107843137254902,0.251960784313725,0.000980392156862745,0.101960784313725,0.000980392156862745,0.0764705882352941,0.000980392156862745,0.00196078431372549,0.000980392156862745,0.0745098039215686,0.000980392156862745
"CPER_004-M-0-30-20140812",0.444117647058824,0.131372549019608,0.00784313725490196,0.00686274509803922,0.000980392156862745,0.000980392156862745,0.168627450980392,0.00490196078431373,0.00294117647058824,0.000980392156862745,0.0480392156862745,0.000980392156862745,0.0313725490196078,0.000980392156862745,0.0147058823529412,0.000980392156862745,0.00882352941176471,0.000980392156862745,0.122549019607843,0.000980392156862745
"CPER_004-M-16-7-20140812",0.320588235294118,0.0294117647058824,0.00686274509803922,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.046078431372549,0.0529411764705882,0.000980392156862745,0.00588235294117647,0.0156862745098039,0.000980392156862745,0.00882352941176471,0.000980392156862745,0.0235294117647059,0.000980392156862745,0.00686274509803922,0.000980392156862745,0.474509803921569,0.000980392156862745
"CPER_004-M-23-38-20140812",0.387254901960784,0.0323529411764706,0.00588235294117647,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.0627450980392157,0.00588235294117647,0.0147058823529412,0.0127450980392157,0.265686274509804,0.000980392156862745,0.0352941176470588,0.000980392156862745,0.0696078431372549,0.000980392156862745,0.00980392156862745,0.000980392156862745,0.0901960784313725,0.000980392156862745
"CPER_007-M-3-37-20140717",0.262745098039216,0.281372549019608,0.0284313725490196,0.0215686274509804,0.000980392156862745,0.00196078431372549,0.104901960784314,0.000980392156862745,0.0107843137254902,0.0107843137254902,0.0431372549019608,0.000980392156862745,0.0352941176470588,0.000980392156862745,0.0264705882352941,0.000980392156862745,0.00588235294117647,0.00196078431372549,0.158823529411765,0.000980392156862745
"CPER_047-M-33-17-20140717",0.195098039215686,0.327450980392157,0.0401960784313726,0.00392156862745098,0.000980392156862745,0.000980392156862745,0.0892156862745098,0.000980392156862745,0.00392156862745098,0.0705882352941176,0.0333333333333333,0.000980392156862745,0.0303921568627451,0.000980392156862745,0.0970588235294118,0.000980392156862745,0.00294117647058824,0.0235294117647059,0.0754901960784314,0.000980392156862745
"DSNY_001-M-1-6-20140813",0.0882352941176471,0.00784313725490196,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.609803921568628,0.00392156862745098,0.000980392156862745,0.000980392156862745,0.0470588235294118,0.00196078431372549,0.000980392156862745,0.175490196078431,0.000980392156862745,0.00294117647058824,0.0480392156862745,0.00294117647058824,0.000980392156862745,0.00294117647058824,0.000980392156862745
"DSNY_001-M-17-9-20140701",0.372549019607843,0.0166666666666667,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.513725490196078,0.00784313725490196,0.000980392156862745,0.00588235294117647,0.000980392156862745,0.00784313725490196,0.000980392156862745,0.0303921568627451,0.00882352941176471,0.0254901960784314,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.000980392156862745
"DSNY_001-M-22-32-20140909",0.288235294117647,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.00196078431372549,0.00196078431372549,0.131372549019608,0.000980392156862745,0.0372549019607843,0.000980392156862745,0.233333333333333,0.000980392156862745,0.00490196078431373,0.000980392156862745,0.0137254901960784,0.00588235294117647,0.000980392156862745,0.000980392156862745,0.127450980392157,0.145098039215686
"DSNY_001-M-29-37-20140701",0.615686274509804,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.0117647058823529,0.000980392156862745,0.000980392156862745,0.00588235294117647,0.000980392156862745,0.000980392156862745,0.0343137254901961,0.00196078431372549,0.000980392156862745,0.0431372549019608,0.000980392156862745,0.000980392156862745,0.274509803921569,0.000980392156862745,0.000980392156862745
"DSNY_001-M-7-0-20140909",0.0274509803921569,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.212745098039216,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.738235294117647,0.000980392156862745,0.00294117647058824,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.00392156862745098,0.000980392156862745
"DSNY_001-M-7-5-20140813",0.549019607843137,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.146078431372549,0.0147058823529412,0.000980392156862745,0.0362745098039216,0.000980392156862745,0.0205882352941176,0.000980392156862745,0.0588235294117647,0.000980392156862745,0.0441176470588235,0.113725490196078,0.000980392156862745,0.000980392156862745,0.00588235294117647,0.000980392156862745
"DSNY_001-M-9-11-20140701",0.494117647058824,0.00588235294117647,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.212745098039216,0.000980392156862745,0.000980392156862745,0.00490196078431373,0.000980392156862745,0.172549019607843,0.000980392156862745,0.00588235294117647,0.000980392156862745,0.00196078431372549,0.000980392156862745,0.000980392156862745,0.05,0.0411764705882353,0.000980392156862745
"DSNY_002-M-10-34-20140910",0.509803921568627,0.0166666666666667,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.00490196078431373,0.000980392156862745,0.00882352941176471,0.000980392156862745,0.00784313725490196,0.000980392156862745,0.0686274509803922,0.370588235294118,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.000980392156862745
"DSNY_002-M-11-0-20140813",0.953921568627451,0.00686274509803922,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.0107843137254902,0.000980392156862745,0.000980392156862745,0.00588235294117647,0.000980392156862745,0.00392156862745098,0.000980392156862745,0.00490196078431373,0.000980392156862745,0.000980392156862745,0.000980392156862745
"DSNY_002-M-25-6-20140910",0.623529411764706,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.00686274509803922,0.00980392156862745,0.000980392156862745,0.00784313725490196,0.000980392156862745,0.0392156862745098,0.109803921568627,0.00294117647058824,0.000980392156862745,0.0274509803921569,0.151960784313725,0.000980392156862745,0.000980392156862745,0.0107843137254902,0.000980392156862745
"DSNY_002-M-30-5-20140813",0.935294117647059,0.0225490196078431,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.00588235294117647,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.0205882352941176,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.000980392156862745
"DSNY_002-M-9-4-20140910",0.943137254901961,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.0147058823529412,0.000980392156862745,0.00784313725490196,0.0166666666666667,0.00294117647058824,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.000980392156862745
"DSNY_003-M-1-7-20140813",0.23921568627451,0.00196078431372549,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.0107843137254902,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.0127450980392157,0.000980392156862745,0.00784313725490196,0.000980392156862745,0.0137254901960784,0.700980392156863,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.000980392156862745
"DSNY_003-M-3-26-20140813",0.0735294117647059,0.00294117647058824,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.00490196078431373,0.0235294117647059,0.000980392156862745,0.000980392156862745,0.165686274509804,0.00294117647058824,0.000980392156862745,0.690196078431373,0.000980392156862745,0.000980392156862745,0.00392156862745098,0.000980392156862745,0.0215686274509804,0.000980392156862745,0.000980392156862745
"DSNY_003-M-33-0-20140813",0.457843137254902,0.0117647058823529,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.369607843137255,0.00686274509803922,0.000980392156862745,0.0205882352941176,0.000980392156862745,0.00490196078431373,0.000980392156862745,0.0509803921568627,0.000980392156862745,0.0352941176470588,0.00882352941176471,0.000980392156862745,0.0235294117647059,0.000980392156862745,0.000980392156862745
"DSNY_004-M-21-38-20140813",0.917647058823529,0.00392156862745098,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.00196078431372549,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.0598039215686275,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.00196078431372549,0.000980392156862745
"DSNY_009-M-2-0-20140813",0.947058823529412,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.00392156862745098,0.000980392156862745,0.00490196078431373,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.0284313725490196,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.000980392156862745
"DSNY_009-M-26-3-20140701",0.472549019607843,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.00490196078431373,0.0294117647058824,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.00588235294117647,0.000980392156862745,0.28921568627451,0.00882352941176471,0.0411764705882353,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.136274509803922,0.000980392156862745
"DSNY_009-M-29-2-20140701",0.908823529411765,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.00588235294117647,0.000980392156862745,0.000980392156862745,0.00294117647058824,0.00490196078431373,0.000980392156862745,0.0343137254901961,0.000980392156862745,0.0245098039215686,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.00588235294117647,0.000980392156862745
"DSNY_009-M-33-11-20140910",0.950980392156863,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.00980392156862745,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.0127450980392157,0.000980392156862745,0.00980392156862745,0.000980392156862745,0.00196078431372549,0.000980392156862745,0.000980392156862745,0.000980392156862745
"DSNY_009-M-39-30-20140813",0.873529411764706,0.00294117647058824,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.0215686274509804,0.00392156862745098,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.00882352941176471,0.000980392156862745,0.00588235294117647,0.000980392156862745,0.0411764705882353,0.000980392156862745,0.0303921568627451,0.000980392156862745
"DSNY_009-M-8-11-20140813",0.909803921568627,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.0274509803921569,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.0176470588235294,0.000980392156862745,0.0196078431372549,0.000980392156862745,0.0107843137254902,0.000980392156862745
"DSNY_016-M-0-30-20140910",0.547058823529412,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.0519607843137255,0.000980392156862745,0.000980392156862745,0.00196078431372549,0.238235294117647,0.000980392156862745,0.0803921568627451,0.00686274509803922,0.00294117647058824,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.0588235294117647,0.000980392156862745
