"","other","Mortierellales","Filobasidiales","Tremellales","Umbelopsidales","Russulales","Hypocreales","Eurotiales","Chaetothyriales","Cantharellales","Sordariales","Atheliales","Agaricales","Sebacinales","Helotiales","Thelephorales","Pezizales","Boletales","Pleosporales","Mytilinidales"
"BART",0.195007470666667,0.0565590384566667,0.0220188481684444,0.0195928330397778,0.02786893599,0.0496472993666667,0.0315707036755556,0.0217002651622222,0.02141299912,0.0340744836877778,0.0208499992502222,0.0267008785422222,0.217644067366667,0.0563814119755556,0.0493225844444444,0.0372996243377778,0.0224484048005556,0.0411829698333333,0.0195148711093333,0.0292023090655556
"CPER",0.153705043,0.147483064222222,0.0320882491311111,0.0208714868277778,0.0167059438688889,0.0170380652888889,0.0894393399444444,0.0194701016966667,0.0271541212955556,0.0360033266444444,0.0726643702777778,0.0167795099777778,0.0697968375666667,0.0169549742411111,0.0575432018333333,0.01677804612,0.0233097669755556,0.0201771960533333,0.129200953466667,0.0168363924888889
"DSNY",0.266508957777778,0.0370512211333333,0.03202373329,0.0320957213288889,0.0323490898711111,0.0421265644,0.0441094666888889,0.0326921201733333,0.0363939489111111,0.0359844200111111,0.0436926015666667,0.0334954199888889,0.0578993993333333,0.0336642320166667,0.0554381992333333,0.03997051027,0.0346234911822222,0.0351414514455556,0.0421193893222222,0.0326200673822222
"HARV",0.193594643111111,0.0447293624555556,0.0226049340255556,0.0218782088722222,0.0336613038777778,0.0955423627777778,0.0312111666777778,0.0228193946411111,0.0237417564455556,0.0344691032666667,0.0243226887611111,0.0441952946,0.192511035444444,0.0317987548777778,0.0473926671444444,0.0283492610888889,0.0264872655288889,0.0353027988888889,0.0229175679244444,0.0224704245433333
"JERC",0.194152986333333,0.0393598694666667,0.0195720050733333,0.0195608518977778,0.0551564709777778,0.235929461222222,0.0313465966666667,0.0208806999788889,0.0302272465222222,0.0218176199188889,0.0288819918555556,0.0297679190666667,0.0685369060111111,0.0241343843477778,0.0379380774555556,0.0378267854777778,0.0272089811033333,0.0230747013411111,0.0240938050533333,0.0305326463088889
"ORNL",0.339531020777778,0.0432643295222222,0.0185980952466667,0.0185246470766667,0.0284923412622222,0.0847669721444444,0.0274399705644444,0.0184338160866667,0.0202604487444444,0.0289022151811111,0.02852122585,0.0314071676255556,0.104681362922222,0.0401904949333333,0.0355499415833333,0.0258998467988889,0.0207593428866667,0.0440171224111111,0.0215246032933333,0.0192350280011111
"OSBS",0.257531862,0.0389991321666667,0.0218461127966667,0.0216258854377778,0.0376642156322222,0.176653284211111,0.0323913458366667,0.0258907374144444,0.0303201863033333,0.0254466980444444,0.0242977607066667,0.0226407273888889,0.0807474684111111,0.0231677815324444,0.0381078271044444,0.03244075312,0.0243531038488889,0.0405274691322222,0.0228786244455556,0.0224690212344444
"SCBI",0.182208249222222,0.117914373522222,0.0232883301866667,0.0212546662522222,0.0215677769077778,0.0285552019188889,0.0659248172333333,0.0211617052633333,0.0354527951255556,0.03730169032,0.0478683656111111,0.0217068542922222,0.161735218888889,0.0286786531022222,0.0514041905555556,0.0250660948811111,0.0257904405455556,0.0268051870422222,0.0351730758144444,0.0211423064733333
"STER",0.107961482711111,0.118019918288889,0.0393739427444444,0.0139220959533333,0.0119988515555556,0.0126216971788889,0.321562954444444,0.0120553986088889,0.01541874508,0.0219605028666667,0.0334917210777778,0.0121598002911111,0.0244239417111111,0.0121025899955556,0.0310794709888889,0.0120720104522222,0.0159977299233333,0.0120721736666667,0.159688206111111,0.0120167580111111
"TALL",0.175517265888889,0.0424589145444444,0.0192290367766667,0.0183519048355556,0.0613223524777778,0.213855106222222,0.0201885454177778,0.0182785900488889,0.0194476299511111,0.0227601284266667,0.0186860195866667,0.0299500713111111,0.134723942922222,0.0335233686333333,0.0367690359888889,0.0443719840111111,0.02060445098,0.0310689425222222,0.0187982441711111,0.0200944631288889
"UNDE",0.208887081,0.0634196542777778,0.0352793725666667,0.0189582288088889,0.0227622591566667,0.0499451438111111,0.0306807503,0.0192407190722222,0.0210498529411111,0.0299983322666667,0.0300367429444444,0.0255510271222222,0.250964654333333,0.0236377945888889,0.0439959641,0.0388504139333333,0.0233369398333333,0.02105568079,0.0234179877333333,0.01893140123
"WOOD",0.161987524111111,0.187255676444444,0.0289412360888889,0.0269893753144444,0.0205143194222222,0.0214720453,0.0655664247,0.0199959528355556,0.0269538889855556,0.0283033838111111,0.0379418923333333,0.02085049235,0.0873051862333333,0.0258721729077778,0.0838919454666667,0.0210615880122222,0.0263451000788889,0.0205289661422222,0.0682125808444444,0.0200102495688889
