"","other","Mortierellomycota","Basidiomycota","Mucoromycota","Ascomycota"
"BART_001-M-22-32-20140722",0.243781094527363,0.054726368159204,0.565174129353234,0.0796019900497512,0.0567164179104478
"BART_001-M-7-0-20140722",0.017910447761194,0.0348258706467662,0.68955223880597,0.0258706467661692,0.2318407960199
"BART_001-O-30-37-20140722",0.00099502487562189,0.00398009950248756,0.988059701492537,0.00099502487562189,0.00597014925373134
"BART_001-O-7-0-20140722",0.0825870646766169,0.0517412935323383,0.0328358208955224,0.00099502487562189,0.8318407960199
"BART_004-M-25-6-20140722",0.00398009950248756,0.0945273631840796,0.466666666666667,0.00696517412935323,0.427860696517413
"BART_004-O-25-6-20140722",0.0218905472636816,0.0388059701492537,0.759203980099503,0.00099502487562189,0.17910447761194
"BART_006-M-15-7-20140722",0.00199004975124378,0.0467661691542289,0.51044776119403,0.00099502487562189,0.439800995024876
"BART_006-M-33-11-20140722",0.017910447761194,0.0437810945273632,0.662686567164179,0.0756218905472637,0.2
"BART_006-M-33-3-20140619",0.00099502487562189,0.0129353233830846,0.794029850746269,0.0925373134328358,0.0995024875621891
"BART_006-O-4-7-20140722",0.00597014925373134,0.00398009950248756,0.980099502487562,0.00099502487562189,0.00895522388059702
"CPER_001-M-22-32-20140812",0.0119402985074627,0.112437810945274,0.135323383084577,0.00099502487562189,0.739303482587065
"CPER_001-M-30-37-20140812",0.0407960199004975,0.109452736318408,0.196019900497512,0.00099502487562189,0.65273631840796
"CPER_001-M-7-0-20140812",0.0139303482587065,0.0577114427860696,0.0258706467661692,0.00099502487562189,0.901492537313433
"CPER_002-M-10-34-20140812",0.00298507462686567,0.0567164179104478,0.0427860696517413,0.00099502487562189,0.896517412935323
"CPER_002-M-25-6-20140812",0.0248756218905473,0.14228855721393,0.0825870646766169,0.00099502487562189,0.749253731343284
"CPER_002-M-9-4-20140812",0.0537313432835821,0.0965174129353234,0.209950248756219,0.00099502487562189,0.638805970149254
"CPER_003-M-15-7-20140812",0.0109452736318408,0.216915422885572,0.336318407960199,0.00099502487562189,0.434825870646766
"CPER_003-M-33-11-20140812",0.00995024875621891,0.0845771144278607,0.348258706467662,0.00099502487562189,0.556218905472637
"CPER_003-M-4-7-20140812",0.00796019900497512,0.0865671641791045,0.123383084577114,0.00099502487562189,0.781094527363184
"CPER_004-M-0-30-20140812",0.0298507462686567,0.133333333333333,0.0716417910447761,0.00099502487562189,0.764179104477612
"CPER_004-M-16-7-20140812",0.00696517412935323,0.0298507462686567,0.0218905472636816,0.00099502487562189,0.940298507462687
"CPER_004-M-23-38-20140812",0.0139303482587065,0.03681592039801,0.153233830845771,0.00099502487562189,0.795024875621891
"CPER_007-M-3-37-20140717",0.0228855721393035,0.285572139303483,0.141293532338308,0.00099502487562189,0.549253731343284
"CPER_047-M-33-17-20140717",0.0258706467661692,0.36318407960199,0.196019900497512,0.00099502487562189,0.413930348258706
"DSNY_001-M-1-6-20140813",0.00597014925373134,0.00796019900497512,0.891542288557214,0.00099502487562189,0.0935323383084577
"DSNY_001-M-17-9-20140701",0.00398009950248756,0.0169154228855721,0.571144278606965,0.00099502487562189,0.406965174129353
"DSNY_001-M-22-32-20140909",0.00796019900497512,0.00099502487562189,0.0507462686567164,0.00199004975124378,0.938308457711443
"DSNY_001-M-29-37-20140701",0.0577114427860696,0.00099502487562189,0.328358208955224,0.00796019900497512,0.604975124378109
"DSNY_001-M-7-0-20140909",0.00199004975124378,0.00199004975124378,0.964179104477612,0.00099502487562189,0.0308457711442786
"DSNY_001-M-7-5-20140813",0.0398009950248756,0.00099502487562189,0.330348258706468,0.00995024875621891,0.618905472636816
"DSNY_001-M-9-11-20140701",0.284577114427861,0.00597014925373134,0.281592039800995,0.00199004975124378,0.425870646766169
"DSNY_002-M-10-34-20140910",0.0109452736318408,0.0169154228855721,0.383084577114428,0.00099502487562189,0.588059701492537
"DSNY_002-M-11-0-20140813",0.0796019900497512,0.00696517412935323,0.0218905472636816,0.00099502487562189,0.890547263681592
"DSNY_002-M-25-6-20140910",0.0218905472636816,0.00099502487562189,0.27363184079602,0.00099502487562189,0.702487562189055
