"","other","Mortierellomycota","Basidiomycota","Mucoromycota","Ascomycota"
"BART",0.0649297751444444,0.103940549348889,0.553736130222222,0.0657121177166667,0.211681430855556
"CPER",0.0398501394111111,0.160536366477778,0.150762618,0.0288881421766667,0.619962741
"DSNY",0.135482858533333,0.0809284765666667,0.166321795011111,0.0741635310555556,0.543103342444444
"HARV",0.0775789534,0.0711227818111111,0.574070281888889,0.0600302293222222,0.217197746444444
"JERC",0.0354081123444444,0.0477391378888889,0.621528359444444,0.0865950696888889,0.208729322
"ORNL",0.140868895977778,0.0948000631111111,0.447983620555556,0.0718719188888889,0.244475501111111
"OSBS",0.2209873134,0.0872240975377778,0.326748933744444,0.0850840934166667,0.279955547377778
"SCBI",0.0605712487444444,0.157505292733333,0.396432205666667,0.0537489295311111,0.331742320111111
"STER",0.0296742701666667,0.126602731266667,0.129156061388889,0.02018362023,0.694383329666667
"TALL",0.0371942044555556,0.0530883950777778,0.708677248111111,0.0909429522444444,0.110097193155556
"UNDE",0.0593058379555556,0.0985513636444444,0.595458624444444,0.0489265258777778,0.197757644333333
"WOOD",0.0406603844,0.219201320677778,0.205819818666667,0.0457113226888889,0.488607151777778
