"","mean.other","mean.Mortierellomycetes","mean.Tremellomycetes","mean.Umbelopsidomycetes","mean.Agaricomycetes","mean.Sordariomycetes","mean.Eurotiomycetes","mean.Leotiomycetes","mean.Pezizomycetes","mean.Dothideomycetes"
"BART_001-M-22-32-20140722",0.0974571730677073,0.128424830448576,0.0460291584823794,0.0439224497515729,0.385484291068251,0.0518298062378118,0.0776126439661794,0.0916067655484587,0.0344182069862,0.0432146744428636
"BART_001-M-7-0-20140722",0.0970555858357266,0.127877454733919,0.0457523882622249,0.0437409893344133,0.387359756793222,0.0518488588588142,0.0775357875140899,0.0915530438431038,0.0346026309307925,0.0426735038936939
"BART_001-O-30-37-20140722",0.0982487328988441,0.128871719379919,0.0460196036151744,0.0441256404507606,0.383959083428174,0.0522738045657422,0.0776347792845869,0.091794321438097,0.0346524784935007,0.0424198364452008
"BART_001-O-7-0-20140722",0.0976067179275493,0.128351627825797,0.0458387058890311,0.0445522696016641,0.384735237023246,0.0525927416538343,0.077894164169116,0.0912533805699788,0.0343151869453066,0.0428599683944763
"BART_004-M-25-6-20140722",0.11553598528973,0.161432337430583,0.0593412307608928,0.0520622452872,0.276885277935165,0.068849109727754,0.085648623068661,0.10884375201437,0.0281817030953037,0.0432197353903391
"BART_004-O-25-6-20140722",0.116125244073702,0.16199411987929,0.0594239278877135,0.052340003348676,0.275009434870351,0.0686561201214723,0.0851904794526166,0.109851447801979,0.0281486106273526,0.0432606119368485
"BART_006-M-15-7-20140722",0.111203486373749,0.149710635860962,0.0515168983975401,0.0516604890005094,0.312391459259258,0.0624407664359716,0.0840668628265195,0.100934066046315,0.0322412692037949,0.0438340665953801
"BART_006-M-33-11-20140722",0.1111078262957,0.148097223072302,0.0511934762775493,0.0524651942683288,0.313028784234188,0.0616056768067509,0.0839524378661377,0.103004806563605,0.0321763605625357,0.0433682140529017
"BART_006-M-33-3-20140619",0.111095559307714,0.150151653406832,0.0512463354143805,0.0520499327448902,0.311346153901777,0.062233435981074,0.084209822711587,0.102054345854761,0.0319511266261589,0.0436616340508248
"BART_006-O-4-7-20140722",0.110799498486607,0.150004460736092,0.0511010141456663,0.0518675760220386,0.313374087200081,0.0618409337490288,0.0835878748154702,0.102355362919657,0.0318372425119676,0.0432319494133913
"CPER_001-M-22-32-20140812",0.0732180253859686,0.0605541082875191,0.0323989070057336,0.0117598244023497,0.426641792525311,0.129859934607068,0.0327807508138779,0.0263106772972886,0.106605178674238,0.099870801000645
