"","mean.other","mean.Mortierellomycetes","mean.Tremellomycetes","mean.Umbelopsidomycetes","mean.Agaricomycetes","mean.Sordariomycetes","mean.Eurotiomycetes","mean.Leotiomycetes","mean.Pezizomycetes","mean.Dothideomycetes"
"BART_001",0.0965775905399262,0.126012951002119,0.0456060314744427,0.0441171421208083,0.391654254143676,0.0515778232287772,0.0762181858696512,0.0914034461518642,0.034256717486907,0.0425758579818287
"BART_004",0.116531253505422,0.160632723623665,0.0597012079024672,0.0541139236123412,0.27321982126619,0.0696687341635911,0.0842262628078206,0.11061226960967,0.0280884004023039,0.0432054031065297
"BART_006",0.110359801850651,0.148102617539304,0.0512659892533603,0.0523816848355293,0.313975074432112,0.0615182979285677,0.0834274338625808,0.103620544620972,0.0320076439555543,0.0433409117213681
"CPER_001",0.0910390108388367,0.0755088160056407,0.0476062143459358,0.0173905141849916,0.347355589332663,0.146462365976182,0.037952052259535,0.035348476541128,0.0968112239567831,0.104525736558304
"CPER_002",0.114760762651738,0.0935088005073394,0.0716833164934003,0.0271144259078287,0.250569263240569,0.168287880824677,0.0435016616509656,0.0471649704233544,0.0769592330458858,0.106449685254243
"CPER_003",0.0950348693036017,0.0785402332825205,0.0514591124550283,0.0183579582881753,0.329692291744008,0.152535950951671,0.0386157892503195,0.0370000729326254,0.0929292871964271,0.105834434595623
"CPER_004",0.0930365445588595,0.0769112863435468,0.0493088434794148,0.0176684857421367,0.33893222815641,0.150301709610482,0.0381639644696176,0.0360748841552772,0.0944804740567211,0.105121579427534
"CPER_007",0.100489775262211,0.0831124307787617,0.0572708589968376,0.0206542708114979,0.307789079829612,0.15692971215786,0.0398443725291606,0.0397874922118981,0.0883005478774622,0.105821459544699
"CPER_047",0.0994870884894841,0.082344209600226,0.0565436917843363,0.0201340465748771,0.310272011956219,0.157632453647105,0.039331474099332,0.0391155416572586,0.088936791710106,0.106202690481056
"DSNY_001",0.0685038736504096,0.0388580509106459,0.0369810435898519,0.0321642007348495,0.486801161272529,0.051511699584819,0.0762645912930141,0.0347963702404409,0.0449365548060653,0.129182453917375
