"","mean.other","mean.Mortierellomycetes","mean.Tremellomycetes","mean.Umbelopsidomycetes","mean.Agaricomycetes","mean.Sordariomycetes","mean.Eurotiomycetes","mean.Leotiomycetes","mean.Pezizomycetes","mean.Dothideomycetes"
"BART",0.123401893601895,0.151471703028111,0.05716752431796,0.0645462692685419,0.284665726356965,0.057124563924926,0.0763282142079332,0.103638860726582,0.0366779563058268,0.0449772882612594
"CPER",0.10498947346814,0.0857818423250794,0.0617069996193364,0.0221997052720777,0.286248507563811,0.161236389019276,0.0409019783913081,0.0431320510812139,0.0865609905392019,0.107242062720555
"DSNY",0.070084178669358,0.0404874072106819,0.0388191137516158,0.032832606383471,0.478754590144314,0.0531602406424512,0.075873896251299,0.0371723395859446,0.0440703568287385,0.128745270532126
"HARV",0.110508702556803,0.148402570400292,0.0545634017405639,0.0593566314425247,0.328343599768695,0.0549298556999009,0.0698101620167439,0.0872238380914752,0.0370653696243072,0.0497958686586933
"JERC",0.0521759148112831,0.0213794098476345,0.0228518425244086,0.0160696544868761,0.62232247966532,0.0473673699010159,0.0572897239110363,0.0221751592728988,0.0589329246507607,0.0794355209287662
"ORNL",0.128377498987668,0.211061445849255,0.05798171826642,0.0602450402831181,0.176753102829755,0.131979242139046,0.0801547501423942,0.0668352487894606,0.0293819345511627,0.057230018161721
"OSBS",0.0676964564318119,0.0871224650867163,0.0300708324323609,0.046086101084565,0.49098973993846,0.0540412724103295,0.0816409727607692,0.0341134230393889,0.0470007947411471,0.0612379420744513
"SCBI",0.12781413799298,0.225196513364897,0.0543492858824121,0.0394600745827278,0.1500898115175,0.21744753807292,0.0578319554432423,0.0475719774204912,0.0291174842841459,0.0511212214386835
"STER",0.113854921806492,0.081888361093065,0.0604334638922799,0.0253781941609999,0.269357264233406,0.162026100075509,0.0497887191491227,0.0483361359876656,0.0877958001243429,0.101141039477117
"TALL",0.0788251742821903,0.0879995953203211,0.0298902687329089,0.0471526932323728,0.463676030608486,0.0515584178479973,0.0909685592659388,0.0454331969910545,0.0512681727083537,0.0532278910103763
"UNDE",0.128042666235436,0.22084767764771,0.0761746504810357,0.0462111565716476,0.21071046668389,0.0946459824368601,0.0498481449491182,0.0917438490719352,0.0329890896127013,0.048786316309665
"WOOD",0.10939363863382,0.0623787699918329,0.0649114666020255,0.0159452395941903,0.2718059517243,0.169855990910563,0.045651727672712,0.0524017735223937,0.134921760021559,0.0727336813266029
