"","mean.other","mean.Mortierellaceae","mean.Piskurozymaceae","mean.Trimorphomycetaceae","mean.Umbelopsidaceae","mean.Russulaceae","mean.Hypocreaceae","mean.Aspergillaceae","mean.Herpotrichiellaceae","mean.Clavulinaceae","mean.Chaetomiaceae","mean.Atheliaceae","mean.Cortinariaceae","mean.Inocybaceae","mean.Sebacinaceae","mean.Helotiaceae","mean.Thelephoraceae","mean.Tricholomataceae","mean.Pyronemataceae","mean.Gloniaceae","mean.Helotiales_fam_Incertae_sedis"
"BART_001-M-22-32-20140722",0.291451822497688,0.116190576989927,0.0299712264546266,0.020259961646807,0.0369265206902324,0.0363197702618245,0.0245158480674411,0.0264342966898322,0.0434399858646402,0.0250209799075216,0.0204842302716897,0.0388667151543328,0.034414390311348,0.0400885951989777,0.0332967516460373,0.0322847741977569,0.0464838392102409,0.027546985483769,0.029119236536455,0.0204295900778004,0.0264539028410521
"BART_001-M-7-0-20140722",0.290806811842724,0.117201510256145,0.0299362070515298,0.0203880556104493,0.0383459486276031,0.036767710512737,0.024573925890266,0.0263477968706547,0.0433066426910359,0.0247575036326252,0.0203957849499925,0.0387085964786781,0.0349746591200957,0.0400988008513497,0.0326313916993036,0.0324940954651517,0.0458380377735138,0.0271000450874285,0.0288163457220451,0.0199461774280619,0.0265639524386087
"BART_001-O-30-37-20140722",0.290551031755475,0.117803900746671,0.0302885901858273,0.0202429815749489,0.0381857023699378,0.036937275380382,0.0246964858978381,0.0260629872409513,0.0435512175304211,0.0246090303349033,0.0205421715623952,0.0390564831070013,0.0349687749677131,0.0393497761622599,0.0324086559441105,0.0328223969432092,0.0458614574619849,0.026888246082296,0.02887252169691,0.0201269820759409,0.0261733309788232
"BART_001-O-7-0-20140722",0.290814169828684,0.115586481531102,0.0299092660516612,0.0201840729416251,0.0381443551565898,0.0367255092911184,0.0245779403792002,0.0266173238707015,0.0437195769662052,0.0247662214889613,0.0202112538617819,0.0389008059991508,0.0355173519578825,0.0399400523768776,0.0328130174820401,0.0324004974953811,0.0461977126788185,0.0272384732468031,0.0291485058715468,0.0202416660939978,0.0263457454298711
"BART_004-M-25-6-20140722",0.299930452645911,0.147182799907746,0.0367108915899285,0.0227858022813661,0.0407759815350779,0.0264104481036553,0.0266615612770905,0.027370302499472,0.0438197332673244,0.0228827855318777,0.0221257620877144,0.035168690540471,0.0272432823615524,0.0257507843287919,0.027158529684897,0.0330170875655603,0.0320498878762816,0.0281770231456363,0.0272399382501333,0.0193714040941732,0.028166851425339
"BART_004-O-25-6-20140722",0.299664979173982,0.147402040209909,0.0368401222761921,0.022918285743616,0.0406070514448984,0.026287916402818,0.026900997765217,0.0272437605301381,0.0437097967982525,0.0231454847410996,0.0220374058193956,0.0352863077746946,0.0269317668774073,0.0257427878561237,0.0271152625108399,0.0329648572575508,0.0318618502010731,0.028552658173505,0.0272337082797748,0.0193509123703786,0.0282020477931344
"BART_006-M-15-7-20140722",0.299269266258707,0.133607039018204,0.0318735229636914,0.0206845334900915,0.0417528350198166,0.0265707974896997,0.0262825362637077,0.0270783975543612,0.0448589444660975,0.0231015288336032,0.0212504700233715,0.035884630631543,0.0329641835224347,0.0325579151221884,0.0286117860118914,0.0340399524275291,0.0364980103144527,0.0274546455168527,0.0283976315325698,0.0195719586919517,0.027689414847235
"BART_006-M-33-11-20140722",0.298225440626779,0.135767538234677,0.0320386921053894,0.0210344176302049,0.0415861229311154,0.026682094270547,0.0258140967466551,0.027220294090933,0.0446268169154422,0.0228037924516557,0.0211746280493939,0.0355997979034407,0.0330936218389153,0.0328274898069207,0.0284169809723931,0.0341412421336532,0.0361786627757972,0.0274306265017895,0.0280516886010546,0.01940021688963,0.0278857385236135
"BART_006-M-33-3-20140619",0.298135326253111,0.135097990178705,0.0321064685386553,0.0208473237183124,0.0418268783089861,0.0266689908902653,0.0263308238919065,0.0270956008025934,0.0450641849743642,0.0231866920705964,0.0210808201472952,0.0356999595331243,0.0333334981390564,0.0326650456772,0.0282192285792221,0.0339209923276701,0.0361941807969279,0.0273033022847969,0.0282039394567009,0.0192861685650434,0.0277325848654674
"BART_006-O-4-7-20140722",0.298383920252669,0.134172067642625,0.0318890821334777,0.0209744641575166,0.0408009812712115,0.0266097845279783,0.0260859051535407,0.0271077548032766,0.0448915900230043,0.0235072983315158,0.0213615929747609,0.0361674501289068,0.0323785235600651,0.0328298333977079,0.0291472383087968,0.0338089175310038,0.0367648844861181,0.0278080756772122,0.0281746464341969,0.019608369449067,0.0275276197553489
