"","mean.other","mean.Mortierellaceae","mean.Piskurozymaceae","mean.Trimorphomycetaceae","mean.Umbelopsidaceae","mean.Russulaceae","mean.Hypocreaceae","mean.Aspergillaceae","mean.Herpotrichiellaceae","mean.Clavulinaceae","mean.Chaetomiaceae","mean.Atheliaceae","mean.Cortinariaceae","mean.Inocybaceae","mean.Sebacinaceae","mean.Helotiaceae","mean.Thelephoraceae","mean.Tricholomataceae","mean.Pyronemataceae","mean.Gloniaceae","mean.Helotiales_fam_Incertae_sedis"
"BART_001",0.291478473059635,0.116741675852446,0.0298015469226812,0.0204054872054429,0.0370304414349799,0.0362868453276329,0.0244891178866931,0.026295113879206,0.0430304611124816,0.0253481273428511,0.0205159919359646,0.0386530826551971,0.0337361263443044,0.0404708848589864,0.0329329034719239,0.0323727647049116,0.0471161033540211,0.0279392740785412,0.0290718860208929,0.0199398676941355,0.0263438248570714
"BART_004",0.299699815162197,0.149010474313434,0.0362537606039366,0.0227344845066225,0.0408495582590473,0.0263576058523906,0.0267489366516213,0.0272673967581881,0.0434918222372838,0.0232099422143438,0.0222128012084217,0.0348039845640315,0.0265086396615922,0.0258677404477101,0.0266217572810998,0.0333224109247679,0.0324043063753699,0.0284465227391296,0.0270993126524482,0.0191396142879129,0.027949113298451
"BART_006",0.299218738531811,0.134562312152231,0.0317313253025077,0.0207742507875177,0.0406465691102674,0.0266244549889273,0.025923828301154,0.027097441582432,0.0443622882672171,0.023763454055678,0.0212364282569422,0.0357567868880222,0.0319196963909598,0.0329879392376723,0.0288134702530212,0.0339739850043177,0.0373354069507358,0.0282216881847254,0.0282242088027217,0.019481882235414,0.027343844715725
"CPER_001",0.391260041852529,0.0694362951774293,0.0271077179875862,0.018848246151424,0.0154726522415196,0.00918109811447137,0.0242911765350786,0.0242400651613863,0.0220691125146393,0.0197240397060113,0.0402522364937332,0.0102027775664122,0.0110323770218121,0.0976799421019016,0.0415566688036225,0.018082154956586,0.0571300490239274,0.0221813031328257,0.030734241607095,0.0189239227175626,0.0305938811324464
"CPER_002",0.406202754225598,0.089006483683361,0.039401064588479,0.0232752006784652,0.0227551464978626,0.0112878059623775,0.0274252427483927,0.0258326244041366,0.0238209663654242,0.0186884230930267,0.0406948070548944,0.01205340931173,0.0113539694541263,0.0531711081860641,0.0291347821404401,0.0219421574491067,0.039996822108358,0.0236061721785361,0.0283123328594094,0.0202703394630564,0.0317683875471547
"CPER_003",0.394912939172354,0.0728156882930695,0.0290254230888797,0.0196546022097478,0.0161727990927424,0.00960664526514922,0.0249117686125615,0.0245887675823009,0.0221927122866703,0.0196492301881958,0.0409012191897102,0.0103515596730279,0.0108114857417237,0.0889567691798246,0.0398117831606213,0.0184671130418657,0.054177162199205,0.0224273275610254,0.0305302283335026,0.0191557211595017,0.0308790549683209
"CPER_004",0.392509830640234,0.0710212050626892,0.027895449418975,0.0191434762213013,0.0156206734298429,0.00933771483916079,0.0244437687295989,0.0242468448537188,0.0218454219164727,0.0197097471112424,0.0404975202057667,0.0102859389227097,0.010825329178513,0.0943812369514728,0.0410582779002534,0.0181822116300227,0.056091656323411,0.0222951879577885,0.0307821812695677,0.0190481096005418,0.0307782178367171
"CPER_007",0.397602227183553,0.0772857834977729,0.0318860743853726,0.0206950579816,0.0177823314985017,0.0100926696005428,0.0255876803699917,0.0248554329628848,0.0224330664891134,0.0194208262976335,0.0409584801439371,0.0107510743742744,0.0108360212116422,0.0794699453498444,0.0370424511401339,0.019339469704719,0.0505035826818795,0.0227152494612066,0.0299322255873817,0.0195223375569799,0.0312880125210346
"CPER_047",0.396841272936403,0.0769776429025688,0.0319102261208576,0.020691996694153,0.0175554202792711,0.0101611081143116,0.0255106540108857,0.0248118918303371,0.0222777255113499,0.0194292663215883,0.0413503134776551,0.0105975873036694,0.0105829617575155,0.0802255788502891,0.0375915695746036,0.019008503708429,0.051321447427558,0.0226121485392224,0.0298932119768575,0.0193521608683998,0.031297311794075
"DSNY_001",0.309925295664893,0.0375437403664796,0.0153921460713976,0.0280648379489463,0.0371620157824747,0.14696857518198,0.0295457383850213,0.0224920433414146,0.0448923916132811,0.0259009658361345,0.0192579476270619,0.0361336484497022,0.0382867649675674,0.0326923300409792,0.0119791749226038,0.026369717818972,0.0688146936838325,0.0181027491831512,0.0133670365084755,0.0218494370301615,0.0152587495754707
"DSNY_002",0.306582283748367,0.0388355621565813,0.0163348305065532,0.0286779120975658,0.0443981032177622,0.146853391976751,0.0300867455799069,0.0226594304242885,0.0473606420638584,0.0247963751144806,0.018181218649867,0.0394440336856384,0.0431525696916158,0.0261719166136201,0.0100646538218469,0.0292098041792272,0.0591356581778296,0.0181814725068866,0.0127303144889466,0.0222110137805092,0.0149320675178976
"DSNY_003",0.314229840483444,0.0395688614057356,0.0152748390758726,0.0277930712312719,0.0455244853377655,0.129747540261966,0.0301762940188076,0.0229998224549481,0.0498072875425012,0.0248608161375623,0.018010424933981,0.039740918947139,0.0469218171780841,0.0273959791739688,0.00993989252638586,0.0300881234336514,0.0590163144352052,0.0186464682128092,0.0130565993361445,0.0222737003145329,0.0149269035582235
"DSNY_004",0.302897009422252,0.039523908636315,0.0170700353787485,0.0292242300016515,0.0511881160989842,0.146798347104127,0.0300954842301208,0.0226903141489702,0.0493375380296678,0.0237021727261764,0.017137753447534,0.042513383595249,0.0473746141237921,0.0215250577062878,0.00843393370261032,0.0313219258126995,0.0519206300810255,0.0184004575796846,0.0119926098778122,0.0225107740227667,0.014341704273525
"DSNY_009",0.308206300076517,0.04064309601893,0.017736045197297,0.0303723007101952,0.0405095607093032,0.157436211041343,0.0302207238455005,0.0226451121718782,0.044806343516932,0.025230526996364,0.0192533153675351,0.0369797917780914,0.0353421875269828,0.024937388176628,0.0105272765009063,0.0271427720007898,0.0596873337098966,0.0183148659320294,0.0126698342100484,0.0220147175111536,0.0153242970016791
"DSNY_016",0.306228856974661,0.0388960279888731,0.0167293958777948,0.0297620287240545,0.0282718957894656,0.163051874039193,0.0294470351954953,0.0221249359092719,0.0391297142201824,0.027269982680651,0.0222922499531605,0.0300969386114685,0.0266215817004107,0.0364127146895719,0.0152689947552105,0.0218134304673491,0.0779547661598379,0.0177362624712585,0.0137196090191534,0.0209564478351354,0.0162152569378002
"DSNY_043",0.30916069724948,0.0371142283624425,0.0151910654827432,0.0280595269903952,0.0317922960161296,0.149772972743454,0.0291813134413167,0.0223855723948989,0.0423450924544025,0.0268948255583794,0.0204770143948052,0.0330444795502674,0.0325023904778038,0.0380429186983593,0.0140294406127206,0.0240078077032114,0.0772530891957587,0.0179042698982867,0.01378831203532,0.0213940164989223,0.0156586702409031
