"","mean.other","mean.Mortierellaceae","mean.Piskurozymaceae","mean.Trimorphomycetaceae","mean.Umbelopsidaceae","mean.Russulaceae","mean.Hypocreaceae","mean.Aspergillaceae","mean.Herpotrichiellaceae","mean.Clavulinaceae","mean.Chaetomiaceae","mean.Atheliaceae","mean.Cortinariaceae","mean.Inocybaceae","mean.Sebacinaceae","mean.Helotiaceae","mean.Thelephoraceae","mean.Tricholomataceae","mean.Pyronemataceae","mean.Gloniaceae","mean.Helotiales_fam_Incertae_sedis"
"BART",0.285455668659019,0.136850136598281,0.0344376969941857,0.0196612054128175,0.0515419223110459,0.0427620394993531,0.0255304026640692,0.0247563380779655,0.0419083674104747,0.0182353553567934,0.0203919901127468,0.0336848335181499,0.0403918200817177,0.0358496922477789,0.0204972339988496,0.0373511147265743,0.0362671432356406,0.023070526385324,0.0256686315653386,0.0180836156947553,0.0276042654491192
"CPER",0.402652377279602,0.08141243696966,0.0349603790054394,0.0210704626089898,0.0190888407059537,0.0105387220149043,0.0264328126711789,0.0244674267669404,0.0229683006367658,0.0185537303587882,0.0411565040929386,0.0114952614705152,0.0113812511707035,0.0676848975425917,0.0349787381387637,0.0209599709511359,0.0462211342189202,0.0229614427642723,0.0296977806656167,0.019868296611586,0.0314492333547336
"DSNY",0.309153590809578,0.0378063230635143,0.0159548767883883,0.0285963269644772,0.0362915815000273,0.152698877798109,0.0303557905122033,0.0224780385767599,0.0443957271482932,0.0264341449630896,0.0203662418370646,0.0350968881024998,0.036182574857169,0.0309357743015817,0.0119914166523819,0.0259701478818493,0.0660097577037451,0.0185423893008288,0.0137952404597244,0.0223373969593067,0.0146068938194084
"HARV",0.283037430670371,0.133572664454895,0.0314297975252747,0.0213534559442295,0.0492550943657487,0.0525225015739553,0.0244643081086933,0.023197820975079,0.0398889604449056,0.0189341276051462,0.0197778099593912,0.0347233157515393,0.0390816897016898,0.0404479343204406,0.0198325570075568,0.032012112940294,0.0422093940490028,0.024518578918482,0.0237696448239688,0.020289114739571,0.0256816861197656
"JERC",0.29622507899666,0.0225040770453674,0.0148403545838798,0.0196983207538384,0.0204742914434662,0.182137671828038,0.0259176977491575,0.0231198056629995,0.0366336686105082,0.0274662959809766,0.020259073335226,0.0185245663688789,0.0323860636200523,0.0526768220830495,0.0293121964512727,0.020459939426827,0.0916534183111616,0.0150660245346778,0.0200397341794688,0.0183145303351749,0.0122903686993183
"ORNL",0.309695203935311,0.1991946661422,0.025802903135673,0.027839671075384,0.0410032926900324,0.0184446358099457,0.031302194079883,0.0255631540679453,0.0427408203063761,0.0173076480546046,0.0255890046505159,0.0162405061217665,0.0193938393338538,0.0394295762446164,0.0171152159540639,0.0203618163661325,0.0288875409933608,0.0263874987055564,0.0205986000270029,0.0186434126318614,0.0284587996739151
"OSBS",0.2486454020112,0.0742675946731225,0.0129698402350106,0.0245784285045181,0.0410814632249941,0.102611714775276,0.022357226495528,0.0218350993772324,0.049609765160841,0.0231212158995584,0.0158529376560359,0.0248739108585487,0.042340645746955,0.0892264357980086,0.0192820473844864,0.0159059185692646,0.0831569567892786,0.0271378349216734,0.0204635805983794,0.0237689650898585,0.0169130162302299
"SCBI",0.326075928596317,0.213030962507933,0.0276044149292745,0.0271203424824218,0.0241338879921851,0.0108396060797406,0.0328633355712713,0.025945633594855,0.0317395948746683,0.016542861212895,0.0308173017723438,0.00779260273287994,0.0120464602470596,0.048417540337083,0.0285382575369914,0.0141893321093696,0.026194807391573,0.0254511081422764,0.0235252865642664,0.0192785356388278,0.0278521996857678
"STER",0.410718348728482,0.0770843441195893,0.0343073055678443,0.0203570377996407,0.0217836718177681,0.0101704369172011,0.0278148052059243,0.0264035838031288,0.0265581116931913,0.0185863241517193,0.0397708875871324,0.0116402742024766,0.0131405441427864,0.0599027253325117,0.0330971357131321,0.0234457558608385,0.0420848838861405,0.0226140142815161,0.0309787757022222,0.0186590916052918,0.0308819418814623
"TALL",0.267181650047945,0.0773684701954266,0.0151805893281897,0.0209277220622568,0.0423023501787167,0.0770931202878114,0.023461039987479,0.024576316326992,0.0534629247636572,0.0227396520371083,0.0171202665458513,0.0257392476879039,0.0456123674241502,0.0806700670476919,0.0223779021250773,0.0209366762016736,0.0723292368502777,0.0257575372170461,0.0249673912583627,0.0206567959797455,0.0195386764466369
"UNDE",0.285465157665446,0.211101082974182,0.0445251225268539,0.02216615886137,0.032349545220031,0.0223327871030389,0.0251127808785226,0.0224680167474203,0.0273065245659411,0.0160678743050588,0.0286647704791548,0.0206445982883358,0.0160855731619812,0.0405418983523313,0.0258735081466071,0.0254338551014071,0.0328640075560881,0.0234360386268462,0.0247854942932684,0.0170928752449018,0.0356823299012131
"WOOD",0.354517657465934,0.0604925399230802,0.0495121494984307,0.014671884237209,0.0127275396957413,0.00776982839036408,0.0228333658604052,0.0293265607286505,0.0209128797166098,0.0181665221503467,0.0521911129630959,0.00756859601119871,0.00694618615064073,0.073393919670742,0.0755606773391256,0.0211066736006413,0.0488696729820976,0.0199956181487484,0.0504159535156358,0.0121717044372686,0.0408489575140344
