"","mean.other","mean.Saprotroph","mean.Ectomycorrhizal","mean.Wood_Saprotroph","mean.Animal_Pathogen","mean.Plant_Pathogen"
"BART_001-M-22-32-20140722",0.169522603201185,0.349924032838327,0.318561744668099,0.0958381284094742,0.0309128095264513,0.0352406813564635
"BART_001-M-7-0-20140722",0.169948483933362,0.350792777927973,0.317563891151788,0.0955644242141947,0.0309677755904695,0.035162647182213
"BART_001-O-30-37-20140722",0.171233314897361,0.351854513914261,0.315820622028001,0.0947597269077503,0.0312131124256277,0.0351187098269986
"BART_001-O-7-0-20140722",0.17140611943628,0.349828216934651,0.316899048817714,0.0955934205283504,0.0310325288078121,0.0352406654751923
"BART_004-M-25-6-20140722",0.197383921023896,0.427428719356609,0.180244415798032,0.115199205541936,0.0347813192291546,0.0449624190503732
"BART_004-O-25-6-20140722",0.198258905162406,0.42637388805852,0.17981431125542,0.115591675203655,0.0348073023926062,0.0451539179273937
"BART_006-M-15-7-20140722",0.189374875953371,0.408375796655768,0.221153956154549,0.105680424831387,0.033481320107363,0.0419336262975621
"BART_006-M-33-11-20140722",0.188911954346603,0.403741760432403,0.226104752277599,0.106335602692066,0.0331088565172762,0.0417970737340521
"BART_006-M-33-3-20140619",0.18992701657319,0.406412592245632,0.222310054732369,0.106484106249322,0.033530684017435,0.041335546182052
"BART_006-O-4-7-20140722",0.190441060371664,0.407981639423455,0.220292032362594,0.106089069721534,0.0333752171544758,0.0418209809662775
"CPER_001-M-22-32-20140812",0.17723864740371,0.431540289628202,0.170669269088277,0.10252200667596,0.0327409607670686,0.085288826436782
"CPER_001-M-30-37-20140812",0.203695435324644,0.464206665111601,0.0996661054909167,0.107507451824977,0.0344180860841923,0.0905062561636687
"CPER_001-M-7-0-20140812",0.191503995560133,0.44994323438253,0.130919349648409,0.105573713987121,0.03378317966579,0.0882765267560171
"CPER_002-M-10-34-20140812",0.20651655373427,0.468222220355466,0.0924452251921461,0.107547538405148,0.0344777607127623,0.0907907016002078
"CPER_002-M-25-6-20140812",0.207097397397791,0.467505511992299,0.0926361973266196,0.107810193439745,0.0344939345713615,0.090456765272185
"CPER_002-M-9-4-20140812",0.210553054097558,0.471589930681025,0.0848858844285229,0.107687972903527,0.0345204396034058,0.0907627182859605
"CPER_003-M-15-7-20140812",0.197178747936228,0.457949366759327,0.114464011663045,0.106735427142451,0.0339758358889231,0.0896966106100252
"CPER_003-M-33-11-20140812",0.205373155375612,0.466156885755387,0.0955214413395556,0.107621821300365,0.0345354938163319,0.090791202412748
"CPER_003-M-4-7-20140812",0.196666950456534,0.456097048775361,0.116937913240975,0.106677673433813,0.0339891719758191,0.0896312421174977
"CPER_004-M-0-30-20140812",0.186374399526739,0.443885536765426,0.143621799836091,0.10508860298737,0.0335225078070025,0.0875071530773707
"CPER_004-M-16-7-20140812",0.192944125586876,0.45228384464258,0.125848617037582,0.106034666171121,0.0338450122535766,0.0890437343082652
"CPER_004-M-23-38-20140812",0.196543645583575,0.458113173128632,0.115387224115056,0.106651028844835,0.0339185421279311,0.0893863861999707
"CPER_007-M-3-37-20140717",0.204728910252322,0.465784711892189,0.0966409757822658,0.107768844107797,0.0345099618831971,0.0905665960822297
"CPER_047-M-33-17-20140717",0.20124216988408,0.462191506780448,0.102021999752296,0.10864010853039,0.0345278022167102,0.0913764128360754
"DSNY_001-M-1-6-20140813",0.108468612328496,0.234568863902435,0.559758215143047,0.0565727945392573,0.0187199337433438,0.0219115803434208
"DSNY_001-M-17-9-20140701",0.109798457521984,0.236505458780749,0.557251373002778,0.0563199871848123,0.0186185420724028,0.0215061814372737
"DSNY_001-M-22-32-20140909",0.109919662921329,0.236897525759404,0.556463310925072,0.0564957512585231,0.0186393637091607,0.0215843854265112
"DSNY_001-M-29-37-20140701",0.109706799205535,0.2360405688846,0.557866124376076,0.0562288776154217,0.0186055224975879,0.021552107420779
"DSNY_001-M-7-0-20140909",0.11043342886871,0.237692407473653,0.554796657425123,0.0567118009307576,0.0187237492684656,0.0216419560332916
"DSNY_001-M-7-5-20140813",0.106633942412213,0.230536210819612,0.569010849621586,0.0547525292195476,0.0181372850631896,0.0209291828638515
"DSNY_001-M-9-11-20140701",0.109211702637172,0.235859984953378,0.55903217044764,0.0559896531007668,0.0185393767315194,0.0213671121295239
"DSNY_002-M-10-34-20140910",0.118440799582994,0.251729608741172,0.528840751647033,0.0590120606579213,0.019520672443561,0.0224561069273178
"DSNY_002-M-11-0-20140813",0.118364551581032,0.251050482325694,0.529642148325507,0.0589957455757976,0.0195917847492933,0.0223552874426752
"DSNY_002-M-25-6-20140910",0.118904008048486,0.252074418979804,0.527996171455586,0.0590114373529004,0.0195045885628206,0.0225093756004031
