"","mean.other","mean.Saprotroph","mean.Ectomycorrhizal","mean.Wood_Saprotroph","mean.Animal_Pathogen","mean.Plant_Pathogen"
"BART_001",0.17238460315566,0.350743549619909,0.31723049768643,0.0940697520453618,0.0305870402602876,0.0349845572323511
"BART_004",0.199289895464637,0.429751000864509,0.177567708413862,0.11355736521362,0.0341302253850554,0.0457038046583162
"BART_006",0.191976583635972,0.406757427099371,0.220352165337763,0.104846815355529,0.0335385709292685,0.042528437642097
"CPER_001",0.195790646647234,0.453323782480667,0.119822624121956,0.107822913331272,0.0336829891463132,0.0895570442725569
"CPER_002",0.214507019351798,0.471987314408212,0.0768406228854183,0.110164116739981,0.0344796366304039,0.0920212899841874
"CPER_003",0.198793213111743,0.456437141830329,0.11145931913046,0.108741352879234,0.0340123287687368,0.090556644279497
"CPER_004",0.196925493856872,0.454455302814514,0.116186010936496,0.10856500279058,0.0339005166156398,0.0899676729858979
"CPER_007",0.203529813181162,0.460891915557504,0.100818736428816,0.109348794482458,0.0343076963517811,0.0911030439982777
"CPER_047",0.202367439593662,0.460483258050387,0.10199409642088,0.109486255413403,0.0341532770252573,0.0915156734964112
"DSNY_001",0.109706926603651,0.234419118458139,0.558105729338974,0.0570463807994576,0.0186562989612431,0.0220655458385355
"DSNY_002",0.118136283958644,0.24855590232005,0.531100759210272,0.0598088232294736,0.0195608739882646,0.0228373572932959
"DSNY_003",0.118446459247334,0.256511875756059,0.522130973612228,0.0597434129761077,0.0193017774597289,0.0238655009485425
"DSNY_004",0.126023217905712,0.262257192694344,0.50623001536242,0.0619622846892828,0.0201763031641972,0.0233509861840441
"DSNY_009",0.121927958590209,0.258258703575708,0.511863691512535,0.0632903922178053,0.0203508124770823,0.0243084416266602
"DSNY_016",0.107761031298945,0.235341785827882,0.552948600776067,0.0606502444610879,0.019314332243089,0.0239840053929287
"DSNY_043",0.104415715005858,0.226810887067521,0.572152140320146,0.0565690967972859,0.0182153335456059,0.0218368272635822
"HARV_001",0.160481024683275,0.337297286033484,0.361202785964789,0.0804896887541499,0.0287869770768009,0.0317422374875011
"HARV_002",0.184119728509809,0.408428357052384,0.245946873909663,0.0900871979005479,0.0318657098595731,0.0395521327680237
"HARV_004",0.198861386726654,0.509250932509925,0.0848762164716187,0.115413703497947,0.0336269027590658,0.0579708580347896
"HARV_010",0.142144266398198,0.294558659584744,0.439388707093448,0.0715678737188486,0.0255847761141126,0.0267557170906501
"HARV_013",0.165151487370803,0.344007134000281,0.344492272046865,0.0821006224460388,0.0305254000619955,0.0337230840740166
"HARV_016",0.154087747593871,0.331379094576197,0.368816264900008,0.0846108857832029,0.0282684036084608,0.0328376035382606
"HARV_020",0.198556920136989,0.579379066595158,0.0133657977283441,0.103371995805016,0.0306635203685158,0.0746626993659768
