"","mean.other","mean.Saprotroph","mean.Ectomycorrhizal","mean.Wood_Saprotroph","mean.Animal_Pathogen","mean.Plant_Pathogen"
"BART",0.202365344382028,0.393961558148568,0.241918787027483,0.0876822640950261,0.034833072775522,0.0392389735713734
"CPER",0.205526835547094,0.467424337108595,0.0930099692282695,0.108248215728086,0.0333677386332925,0.0924229037546633
"DSNY",0.112435949655262,0.243025901269297,0.547700213936063,0.0560895702853418,0.0183462218019956,0.0224021430520403
"HARV",0.181182108074814,0.382382103603804,0.285796728368951,0.082614981321627,0.0315481236484399,0.0364759549823643
"JERC",0.0806097990682288,0.139523589871821,0.708709441085396,0.0401183873912904,0.0156114097834656,0.0154273727997977
"ORNL",0.164047629835584,0.557090206042368,0.0763881929751462,0.107496659460518,0.0294504609322933,0.0655268507540911
"OSBS",0.0894528541338711,0.279029408136248,0.527381170331648,0.062043355019516,0.0180538689103153,0.0240393434684009
"SCBI",0.15723137732542,0.572204725469629,0.039920889231736,0.108961796128618,0.0325012766788095,0.089179935165787
"STER",0.212955919085156,0.465224697550408,0.0880517273156031,0.110334915775547,0.0338434596270067,0.0895892806462799
"TALL",0.109292906918539,0.291010525166993,0.485133233846181,0.0675469427903733,0.0212716783725446,0.0257447129053698
"UNDE",0.208081827019824,0.477802921509494,0.108730527207029,0.104835527198113,0.0376624203407534,0.0628867767247868
"WOOD",0.236193756160759,0.385347990094544,0.0876491869208806,0.143774038381394,0.043055897293503,0.103979131148919
