"","mean.other","mean.Mortierella","mean.Solicoccozyma","mean.Saitozyma","mean.Umbelopsis","mean.Russula","mean.Trichoderma","mean.Penicillium","mean.Cortinarius","mean.Inocybe","mean.Sebacina","mean.Lactarius","mean.Cladophialophora","mean.Tomentella","mean.Mycena","mean.Cenococcum"
"BART_001-M-22-32-20140722",0.471124401465171,0.118239203043358,0.0304927390438667,0.020990598184631,0.0384034231823058,0.0336283811088343,0.0256682760987361,0.0272528464654354,0.0360115587910979,0.0406889643839017,0.0305060335544253,0.0209125800920951,0.0286441017344415,0.0355809704772619,0.0204798053060164,0.0213761170684226
"BART_001-M-7-0-20140722",0.470577244653588,0.118437122219053,0.030540758339542,0.021083576419047,0.0384980630664769,0.033577835319005,0.0255455389605477,0.0271978390773408,0.0358081596280957,0.0410542544530419,0.0307428265223358,0.0208316186629633,0.0288050037528372,0.0353278643417039,0.0206252916133091,0.0213470029711129
"BART_001-O-30-37-20140722",0.47102708472419,0.118452971711922,0.0306743565566034,0.0209583700647552,0.0381487821225509,0.033282656147983,0.0256625292524134,0.0272152470533217,0.0359481607081446,0.0410001342234465,0.0307562626540726,0.0208739660157965,0.0283570525587082,0.0358732397070732,0.0205450779202823,0.0212241085787367
"BART_001-O-7-0-20140722",0.470846605685638,0.117993424794091,0.0306277831699324,0.0210824857862341,0.0383200325001977,0.0334352445090789,0.0255948573743413,0.0273546982689014,0.036239842447997,0.0407874030580987,0.0305632794887279,0.0210699580407052,0.0286355965905695,0.0356601754786675,0.0205750909444463,0.021213521862373
"BART_004-M-25-6-20140722",0.472831325532068,0.148770565072205,0.0365921193407013,0.0230408001692695,0.0419261491052036,0.0254229951727843,0.0278504582240138,0.0280096576159785,0.0284579329707125,0.0260396704768455,0.0232309365918725,0.0209819376231133,0.029042608117721,0.0266353813015942,0.0209883193666029,0.0201791433193138
"BART_004-O-25-6-20140722",0.474265712694107,0.146923582484669,0.0364936601069781,0.0233428235465258,0.0408807345699235,0.0253148207266592,0.0277898718644755,0.028432970716054,0.0282684252791936,0.0261465460718363,0.0238596865931096,0.0208771810407445,0.0288927395862926,0.0270731331548858,0.0212419829541942,0.0201961286103515
"BART_006-M-15-7-20140722",0.475603260625132,0.136594474595303,0.0319205677360268,0.021216215522083,0.0421662912059453,0.0257224919678047,0.0269603818254669,0.027708297604417,0.0337658661617906,0.0329180115536829,0.0247707772186151,0.0212098185364751,0.0290006662113452,0.0298987190285985,0.0202409636726462,0.0203031965346675
"BART_006-M-33-11-20140722",0.476134554747831,0.135975121670092,0.0320613297636502,0.0211476108928315,0.0413838772476873,0.0254862550695369,0.027077208624757,0.0280977159170707,0.0339185013184187,0.0328053654603312,0.0252393663215835,0.0211045956499616,0.0291919080567594,0.0295383014878673,0.0203857930064908,0.0204524947651309
"BART_006-M-33-3-20140619",0.475159769760623,0.13590796753389,0.0317823407471442,0.0214995367858524,0.0423045099247104,0.0255702369982006,0.027099841769276,0.0279817763460612,0.0337389601249425,0.0329609337709097,0.0251296461546064,0.0211605931075749,0.0291523685259078,0.0299513731671751,0.0202364437978926,0.0203637014852334
"BART_006-O-4-7-20140722",0.475499349867069,0.135222137653039,0.0318811027623832,0.0213401664218677,0.0420378505412224,0.0253005466648425,0.0269941385250057,0.0278729663406301,0.0339553371374181,0.0334221861706111,0.0251669652660609,0.0212922030113362,0.0289599912271305,0.0302736012512595,0.0202507545799363,0.0205307025801875
"CPER_001-M-22-32-20140812",0.535113722069671,0.0536842036213212,0.0201059939763186,0.0155707206166411,0.0114109304706084,0.00958695148817262,0.0212888652409733,0.0219839973404043,0.0123323490208814,0.140055273898754,0.0340296067513378,0.0134120582695745,0.0159668515676345,0.0635476223897314,0.0142866128770389,0.0176242404009374
"CPER_001-M-30-37-20140812",0.570412206077857,0.0744331297512024,0.0325319241150691,0.0204654721025428,0.0187429196680782,0.012320688151588,0.0251079162334607,0.0241967860436629,0.0128414506894708,0.0677616615580157,0.023492484951342,0.0174626198845235,0.0181207392362434,0.0455631254508196,0.0171728450711384,0.0193740310149852
"CPER_001-M-7-0-20140812",0.558939052933613,0.0637560995079655,0.0258408295121423,0.0181273091089324,0.0147483738143449,0.0110330043685356,0.0233267871810017,0.0232786866042835,0.0126243091388943,0.0982442555107437,0.0284922439418221,0.015480909985516,0.0172221777748555,0.0543064895475223,0.0158834124105226,0.0186960586593045
"CPER_002-M-10-34-20140812",0.572037472478934,0.0774387878627145,0.0344541921930929,0.0212275139143783,0.0200530868086181,0.0126635863022804,0.0255848570446536,0.0244567782724574,0.0127761542114522,0.0606915642881072,0.0220502203163056,0.0180740210177467,0.0183452637275745,0.043185846539804,0.017465236733271,0.0194954182886093
"CPER_002-M-25-6-20140812",0.571507136453545,0.0776057896276437,0.0344469828056565,0.0211843958802328,0.0198280722005769,0.0126502798652922,0.0255075695969483,0.0243942363729958,0.0126937329942065,0.0611502386797766,0.0222383741955783,0.0180059597753965,0.018355541724792,0.0433747668387972,0.0174922820299175,0.0195646409586439
"CPER_002-M-9-4-20140812",0.572395249333207,0.0809999319002156,0.0370418786649664,0.0220514648743547,0.0213827915810562,0.0131044529053058,0.0261428455285224,0.0246198475636244,0.0126608987543708,0.0535562694692834,0.0206858653757129,0.0185459649880315,0.0185984092988951,0.0406639240629578,0.0178337902414475,0.0197164154580482
"CPER_003-M-15-7-20140812",0.565289386334172,0.0693272047517469,0.0291950137600776,0.0193821804405308,0.0163896677165805,0.0117594137296274,0.0242863964903276,0.0237626336905909,0.0124549154098965,0.0822279809405675,0.0261322226217587,0.01637258794113,0.0176325350282481,0.0502133566070877,0.0165183119059087,0.0190561926317493
"CPER_003-M-33-11-20140812",0.571278823496839,0.0765877089930151,0.0338175650536392,0.0209070255655085,0.0188903453421315,0.0126394432840579,0.0254470324486842,0.0243005857843246,0.0123945654898816,0.0637737632704401,0.0231590873781649,0.0175927891518805,0.01815278487781,0.0443628573375048,0.0173256858916088,0.019369936634509
"CPER_003-M-4-7-20140812",0.564258677714163,0.0685228290204119,0.0288123498905142,0.0190958835025306,0.0159114549475772,0.0116318288570571,0.0241206478281797,0.023643147628432,0.0123295072938912,0.0849714109162751,0.0269331600888173,0.0161663031273886,0.0175062571594777,0.050844557889614,0.0163365746672407,0.0189154094684298
