"","mean.other","mean.Mortierella","mean.Solicoccozyma","mean.Saitozyma","mean.Umbelopsis","mean.Russula","mean.Trichoderma","mean.Penicillium","mean.Cortinarius","mean.Inocybe","mean.Sebacina","mean.Lactarius","mean.Cladophialophora","mean.Tomentella","mean.Mycena","mean.Cenococcum"
"BART_001",0.472004101076558,0.116432567925331,0.0303842938297279,0.0210027884214168,0.0382114665430496,0.0339352217453739,0.0257404571602125,0.0271719876966622,0.0361332344416345,0.0411916714181339,0.0312025446188123,0.0210460543983868,0.0285075957190111,0.0351561914898536,0.0204799381556706,0.0213998853601657
"BART_004",0.473723924363394,0.147440386993925,0.0368376699597389,0.022940179549513,0.0418785684656852,0.0257368592893671,0.0277380970379197,0.0284079230182358,0.0283253151807731,0.0261556081434412,0.0235482154632957,0.0207800331642055,0.0288621786030547,0.0263112208590882,0.0212073600300273,0.0201064598783361
"BART_006",0.47329133452741,0.136549720977339,0.0321963994499696,0.0213478608592547,0.0433344412327184,0.026062882299946,0.0272737448043327,0.0278797766283639,0.0342310972064472,0.0334794477483983,0.0246667363836806,0.0214906756552374,0.0289405607089384,0.0290142659090366,0.0198969477118421,0.0203441078970855
"CPER_001",0.560587297731878,0.0673488779787167,0.026978298014319,0.0190523338272627,0.015950528051339,0.011263431554317,0.0232221848670108,0.0235974714064331,0.0124332238785719,0.0930293834349908,0.025918281343788,0.015540869498209,0.0173445073564477,0.0515530449897193,0.0164210753347736,0.019759190732223
"CPER_002",0.570942999599009,0.084919813925782,0.0383816575954804,0.0231462249954097,0.0227085847929886,0.0133165985168816,0.0258861814212486,0.0249005587271952,0.0122632987571621,0.0503924248937159,0.0188511647845639,0.0184553271993637,0.0186644640016395,0.0382989949832079,0.0183728436522679,0.0204988621540836
"CPER_003",0.564265638086451,0.0705003373204873,0.02865676481305,0.019785447161648,0.0165627756855222,0.0117190797771377,0.0237914979431546,0.0239211859225877,0.0121303157065078,0.0842697657765316,0.0251720426237582,0.0158690387583824,0.0175125025719831,0.0494227040962795,0.0166522875581338,0.0197686161983848
"CPER_004",0.562297422749575,0.0688101227339034,0.0276390721900626,0.0194134683932231,0.0158367689379014,0.0115129889370901,0.0235707279762752,0.0237642226837947,0.0121161049141722,0.0892958814399579,0.0261495917161333,0.0155797656220256,0.0173374471712317,0.0506724236926876,0.0163911326281706,0.0196128582137955
"CPER_007",0.565940839533701,0.0739962502760586,0.0313617734314381,0.0208107742257835,0.0180025948762313,0.0121968107746252,0.0244237134245023,0.024196534386196,0.0120447651639196,0.0752796209090203,0.0237493176601121,0.0164479370811995,0.0178817904954409,0.0465976465772558,0.017093951182256,0.0199756800022593
"CPER_047",0.565172630126609,0.0744731400340346,0.031511714121253,0.0208153053536913,0.0176261541879249,0.012318162035492,0.0243022575186674,0.0240806339996444,0.0117310090088893,0.0761454113126176,0.0240157794913726,0.0164019928858042,0.0177851812548376,0.0466243734249853,0.0171059642087848,0.0198902910353917
"DSNY_001",0.484354096176117,0.0365466262576212,0.0160070546611764,0.0293732023687634,0.0385349683456087,0.120538921561865,0.0302921600102839,0.0209898373024579,0.0338405098745643,0.0317929566207247,0.0143824695282652,0.0230304829815396,0.0298015287641488,0.0482899282482158,0.0190022071487148,0.0232230501499341
"DSNY_002",0.478981401084238,0.0374673401228404,0.0169927427644137,0.030182618515738,0.0457022217157026,0.12104581018997,0.0307154027461022,0.0210869656819563,0.037671960816085,0.025912539806617,0.0123116315141353,0.0247327999452022,0.0308017337342919,0.0433483257589986,0.0194461284719938,0.0236003771317151
"DSNY_003",0.488639072461125,0.0381426711764241,0.0159806328228544,0.0290195314142353,0.0472785866388708,0.106846656672982,0.0311619560171734,0.0215746174956323,0.0403957660443458,0.0267784725212956,0.0117822383561543,0.0249431600660096,0.0312789384529635,0.0429414074375293,0.0193427563716262,0.0238935360507781
"DSNY_004",0.474752014045528,0.0383528472062206,0.0176887948141282,0.0305671289741458,0.0531589714292369,0.119955959417307,0.0310111205093661,0.021053073481516,0.0413430431158287,0.0217045908848893,0.0105511840992617,0.0262457900403828,0.0312465910213637,0.0389437868172287,0.0196649120153695,0.0237601921282271
"DSNY_009",0.479485939016165,0.0395030172473111,0.0183966408241387,0.031806504353491,0.0415203165925187,0.130092909214413,0.0308713184981469,0.0211176733177671,0.0305349746966485,0.024196122359444,0.0129593487584884,0.0237364531067305,0.0300733525875784,0.042680599352215,0.0198256937543034,0.0231991363206408
"DSNY_016",0.478231301834024,0.0383596207869618,0.0173074391093772,0.0309363700609896,0.0293419483824739,0.136094876168099,0.0298837581109266,0.0207432119027381,0.023952940638815,0.0350973849924676,0.0183673831151002,0.0203294699116555,0.0279032944709509,0.0522092199258199,0.0191085265081955,0.0221332540814048
"DSNY_043",0.483219275541054,0.0363303952716655,0.0160471860278942,0.0294440973811297,0.0332149900237648,0.124628500096996,0.0298888798736233,0.0209087365266184,0.028976279712552,0.036557378153162,0.0166589362150852,0.0214167441130756,0.0288797371459716,0.0521675221451644,0.0189180868224059,0.0227432549498377
"HARV_001",0.450724829277972,0.118183615102392,0.0301983163805998,0.0221784536478944,0.0434144861360256,0.0499400200379093,0.0246253676655688,0.0241661700587134,0.0385301363047978,0.043305644789214,0.0242099567109957,0.0225559294503434,0.0282477745215353,0.0362014127311076,0.0207993505801598,0.0227185366047709
"HARV_002",0.456041673401031,0.140496292227426,0.0313800084814514,0.0223817224787649,0.0484495227967653,0.0365896726509631,0.0261672618391426,0.0248971038487272,0.0361854194503917,0.0366661690011726,0.0186415862878615,0.0226638331051508,0.0284946437902952,0.0297469430371614,0.0198809150878856,0.02131723251581
"HARV_004",0.463077455171313,0.192619497993142,0.0351107885667902,0.0248431248714514,0.0412686267190483,0.0173633224783555,0.0292549969345023,0.0267590360123254,0.0212032167929756,0.0242640501941279,0.0159058294900455,0.0194809037094316,0.0277301934996048,0.021983634702646,0.0201881116680571,0.0189472111961835
"HARV_010",0.448975824146798,0.106231270570168,0.0278144615459001,0.0215751632205107,0.0429536280286815,0.0531709042950709,0.0236688665278581,0.0240794059632606,0.0430491639661828,0.0471804044585822,0.025905144110964,0.0228625742911148,0.0283207681761013,0.0395577613930153,0.0208199258069779,0.0238347334988139
"HARV_013",0.44193041056339,0.127588700572391,0.0330852059418447,0.0230943940824657,0.0408953748691993,0.0573957931410957,0.0247744460464249,0.0234873832772173,0.0329358766600643,0.0436827572001361,0.024818002722067,0.0219470067460487,0.0270328916486053,0.0353604066510536,0.0204247263402486,0.0215466235377476
"HARV_016",0.448426228788679,0.123702452985997,0.0324566047646092,0.0240098272906691,0.0367915907175659,0.0540713372424779,0.0245555094113789,0.0244313594407649,0.0303413741942938,0.0412666624086626,0.0289672528096725,0.021010333152668,0.0273735932132769,0.0376967977016894,0.0220515206567397,0.0228475552208559
"HARV_020",0.409435900631057,0.285099397447532,0.0357495078024147,0.0222378029250099,0.0618324339622138,0.00565926940404747,0.0322754172961229,0.025903285821887,0.018909792619847,0.0118758943649621,0.00549295016381063,0.0191543566839952,0.0263538447455659,0.00998715986492691,0.0159107456016909,0.0141222406649165
"HARV_021",0.443165899214751,0.109853579355979,0.0277636071727463,0.0208020710815046,0.0490594472327192,0.0530260245150646,0.023925216638757,0.0234584232479086,0.0481996419119295,0.046621590044638,0.0221470216261379,0.0238504982043189,0.0283574122455186,0.0367972371130589,0.019921742940194,0.0230505874547745
"HARV_033",0.464133527062631,0.13879230750184,0.0321724524109365,0.0239756388092977,0.039461848971218,0.0358388054554732,0.0263114828327684,0.025515112908844,0.0288301608844339,0.0363015042604911,0.0238186216969366,0.0210066192988458,0.028155098451448,0.0323696614490433,0.0213866056737668,0.0219305523320256
"HARV_034",0.455000184790966,0.10962904030935,0.027859675254921,0.0218154580550816,0.0436241503171567,0.0460092254842137,0.0242485305410502,0.0245701877204661,0.0422534784833764,0.0445054200312223,0.0257479739373602,0.0228764057773676,0.0288969024824277,0.0380511315626373,0.0211080882866727,0.0238041469657313
"HARV_035",0.455835785135475,0.108443768530323,0.0273490210639202,0.0216702853805958,0.0437379345982139,0.0457608719854391,0.0243980038873095,0.0248298048228387,0.0427095888166493,0.0445199361275643,0.025696016008779,0.0226982263741217,0.0288484323325768,0.038526828360933,0.0211791090175351,0.0237963875577253
"JERC_001",0.456730233599914,0.0234665834303597,0.0168027423179341,0.0212726142603113,0.0184998867597243,0.16950422206572,0.0253789857025271,0.0205907962468711,0.0232199698445693,0.0528703196755559,0.0352281659066723,0.0197562819011016,0.0198939143314084,0.0638537597767386,0.01448066353769,0.0184508606429019
"JERC_002",0.467987421581552,0.0213263534568181,0.014368406679046,0.0192989447923122,0.0259684842197133,0.14030702154619,0.0258984391977212,0.0213862324314295,0.0396232733536726,0.0539952013043995,0.0274048319210109,0.023283693033706,0.0221118246624377,0.0624618405405656,0.0144036325578744,0.0201743987215509
"JERC_003",0.458350410160345,0.0231618002405107,0.0164366123565731,0.0209909494859066,0.0199448486223114,0.165068957354915,0.025493498004345,0.0207168805443714,0.0258972670721232,0.0525561249690717,0.0339275819683549,0.0204025944776618,0.0203184900950056,0.0634424654310705,0.014565430532017,0.0187260886854169
"JERC_005",0.464925780368183,0.0214886497861059,0.0144755584780133,0.0194462600570952,0.025802467381829,0.142437777677823,0.0259013410536259,0.0214031720269576,0.039939589686112,0.054099371067201,0.0283251331998578,0.0230080449485772,0.0218147837278681,0.062636599272945,0.0142910754790757,0.0200043957887297
"JERC_006",0.465155652079471,0.0220115176394751,0.0151411122305619,0.0198852073150561,0.0237288010209345,0.149073423788966,0.0257928439837445,0.0211459748680708,0.0345705811662927,0.0533034671840889,0.0296496315491915,0.0223187380598647,0.0214535136899505,0.062611231401205,0.0144522240013883,0.0197060800217382
"JERC_008",0.46403834080207,0.0221649500216818,0.0152344860001555,0.0199646668423799,0.0224664943730173,0.15103910073297,0.0256563558921098,0.0210442739652446,0.0321306856179379,0.0547900745166139,0.0310039108831321,0.0217150922408716,0.0210807246377219,0.0638023517592064,0.014402007040347,0.0194664846745402
"JERC_047",0.46442805795672,0.0230524440282083,0.0158482528688129,0.0205343508088717,0.02099562847145,0.154245250075059,0.0257943056166883,0.0210651969921594,0.0285389325006953,0.0543240048967765,0.0325961593608772,0.0208730867505892,0.0207159921488628,0.0635457658801917,0.0144155572980224,0.0190270143460144
"JERC_048",0.465404069508642,0.0224534098011424,0.0152820897459393,0.0200834324420293,0.0223327545227087,0.149927294306593,0.0257315802426655,0.021129811568971,0.0319018048142913,0.054652596092345,0.0309920509978294,0.0216126492373534,0.0211476614018168,0.0635772505624548,0.0144704540439851,0.019301090711233
"JERC_049",0.467211643679034,0.0224663259131438,0.0152417208674931,0.0200454442337626,0.0240380193515766,0.146209095849629,0.0260672995973623,0.0212011674296742,0.0349083587312568,0.0531889500070823,0.029283261223303,0.0223347234291685,0.0215253817625474,0.062263304200991,0.0144080567241905,0.019607246999785
"ORNL_001",0.444277644130511,0.143726598072652,0.0240790640223472,0.0277295938250389,0.0388868228026102,0.0422020674261779,0.028077788424343,0.0242636201778488,0.0250569194738537,0.053209211707763,0.0199816433164063,0.0193295492364515,0.0295521451065926,0.0378171659955801,0.0209591600357251,0.0208510062460994
"ORNL_003",0.438119598877004,0.133453675505332,0.0233700028139859,0.0272675089860587,0.0393550711372202,0.0481652455321067,0.0274480403458809,0.0238555956897105,0.0267905186165851,0.0588757339099207,0.0212499116376437,0.0197859003992708,0.0296423666598375,0.0406655620801442,0.0206874606794789,0.0212678071298206
"ORNL_021",0.440241278081249,0.214015239364519,0.0264588190904796,0.0283483633631471,0.0422991266200423,0.0147464306210214,0.0326395823135893,0.0261497883977204,0.0168312982846242,0.0388487976573477,0.0125034809773023,0.0174800441486894,0.0289624104778394,0.0242858967245732,0.0188670326439664,0.0173224112338899
"ORNL_029",0.441558264827411,0.15740251855215,0.0242857024483171,0.0276530846865746,0.0386701107151714,0.0307236459266028,0.0287553550384255,0.0246166033267969,0.022514278324045,0.0612407416265563,0.0195349204340063,0.0184809529886803,0.0290520769591764,0.0358603621187002,0.0200121308232408,0.0196392512041451
"ORNL_031",0.423201339546629,0.259548241349257,0.0265485761835844,0.0280394760265983,0.0441078096485187,0.00819732337220219,0.0343380140001605,0.0265986251806748,0.0143211920785061,0.0298783244638021,0.0093118962692403,0.0162476295461969,0.028142928748743,0.0183592416239357,0.0176952389765684,0.0154641429853818
"ORNL_037",0.42620136822191,0.120790051261632,0.0226719361344958,0.0257042182783493,0.0385570982668234,0.051611992039047,0.0261586689917617,0.0226707315650854,0.0285501797532568,0.0772941607359386,0.0235212616794568,0.0194841697619113,0.0289782498819384,0.045813262833323,0.02055366193037,0.0214389886647004
"ORNL_043",0.438874639976683,0.13485773717341,0.0232870747530875,0.0267174214649888,0.0377473010268796,0.0451633128788202,0.0273556192739778,0.0235549187254217,0.0239844147906758,0.0666424114542286,0.0210062980650259,0.0192564775233075,0.0290886436160785,0.0407870381551926,0.0206524176135294,0.0210242735086933
"OSBS_001",0.403037310921534,0.080083684598491,0.0151517122878302,0.0272367802233026,0.0556303074234206,0.0919075221861103,0.0249749859804998,0.0225506744128108,0.0422770284149744,0.0623633655640573,0.0155004730992373,0.0235055328380176,0.0363037447088867,0.0512637117589613,0.0228680804476885,0.0253450851341773
"OSBS_002",0.3909649267253,0.0629020767521426,0.010432670914986,0.021833809345564,0.0424941288373882,0.0774839248897386,0.0227589485754636,0.0215954839824821,0.0534886583399531,0.109366928954081,0.0208345832033013,0.0203147609684736,0.0335140523983514,0.067265132833861,0.0202794035496785,0.0244705097292351
"OSBS_003",0.436093625575556,0.0948330483490345,0.0130283774087427,0.0253939020251156,0.0620533287386813,0.0444371394590383,0.0277085044138238,0.0246479213071285,0.0461641039131693,0.0609573039718931,0.0116709051145531,0.0237760112033678,0.0385728767896859,0.0443283587853926,0.021837595382984,0.0244969975618333
"OSBS_022",0.395399376779432,0.091570519668661,0.0181456464939862,0.0304877409607849,0.0425926989179813,0.106812615729242,0.0251546203674041,0.022558252615134,0.0259268667703015,0.0665345141013404,0.0197246270867501,0.0208498412615643,0.0334002681935282,0.0533684205767069,0.0238324602637577,0.0236415302134253
"SCBI_002",0.46047117791551,0.209776297541844,0.0256344746673039,0.0266626571349705,0.0240904927086182,0.01335422624286,0.0324068061583735,0.0261171850454357,0.0116734342392781,0.0479435551205172,0.0177003640502105,0.0178604888818907,0.0217462724794851,0.0284313788596684,0.0173652506676625,0.0187659382863714
"SCBI_003",0.454839072958185,0.138433103811865,0.0236604851625536,0.0253794161578416,0.0213921483339575,0.0373314568511671,0.0270420414821834,0.0234021271595988,0.015656314025941,0.0771785445560555,0.0298252712054602,0.0189485575886639,0.0211900219919187,0.0457713525912519,0.018216710704719,0.0217333754186373
"SCBI_006",0.459956359657465,0.211037804519791,0.0255969172445672,0.0265864091878699,0.0234086665961237,0.0132131258581606,0.0323334978134293,0.0260636173663093,0.0113006767874809,0.0486749987157599,0.0180054676309298,0.0175688046872932,0.0216701208703453,0.0286448963660406,0.0173386997074998,0.0185999369909339
"SCBI_012",0.461086356190369,0.207141803478004,0.0247807349548224,0.0262432972343462,0.0226654264064039,0.0131741861741242,0.0322132190319374,0.0260565923478017,0.0113044156853836,0.0520738353724589,0.0186868060028814,0.0173799195477162,0.0215988335945343,0.0296950837953752,0.0172462749460525,0.0186532152377892
