"","mean.other","mean.Mortierella","mean.Solicoccozyma","mean.Saitozyma","mean.Umbelopsis","mean.Russula","mean.Trichoderma","mean.Penicillium","mean.Cortinarius","mean.Inocybe","mean.Sebacina","mean.Lactarius","mean.Cladophialophora","mean.Tomentella","mean.Mycena","mean.Cenococcum"
"BART",0.449643881572576,0.138649339902327,0.0346178241209212,0.0200979030010995,0.0537013015248647,0.0379568826004679,0.026411973962447,0.0248186669341288,0.0410741254665357,0.0367783561152116,0.0194361606673949,0.0236166661156707,0.0282449458556566,0.0277577962261191,0.0179121297874231,0.0192820461471565
"CPER",0.571895051896294,0.0778360081332231,0.0334826860622417,0.020394950400792,0.0194109944565785,0.0126628714467303,0.0250733118357046,0.024543309932414,0.0119427225730613,0.065099911652006,0.0218997857284773,0.0178631990880117,0.0178219524754166,0.0437106567004597,0.0171587894778244,0.0192037981407644
"DSNY",0.484394706442442,0.037852759661069,0.0159320619557542,0.0310723073190505,0.0388334368809528,0.121763800550811,0.0303323367217701,0.0200845095306654,0.0327982384640086,0.0303519863740251,0.0143379869026534,0.0227663394599805,0.0299883333584001,0.04691337013322,0.0193161969470349,0.0232616292981626
"HARV",0.445844341887027,0.134191235404282,0.0315433636532239,0.0220777368643281,0.0505639715525078,0.0452129937715152,0.0252213278124877,0.0232974974639641,0.0387989434607909,0.040124606719499,0.0191621896460262,0.0235513938725139,0.0280417754209185,0.031548225277064,0.0193547560351599,0.0214656411586916
"JERC",0.462928885947082,0.0229008049033172,0.0149297579297268,0.0207741196066478,0.0217187107383112,0.155464537415804,0.0250914409251419,0.0205868987144155,0.0303186788887665,0.0545440572014103,0.0320171751533272,0.0213281483632916,0.0212073469449158,0.0627372987013797,0.0143161118710352,0.0191360266954273
"ORNL",0.457096150450504,0.190845185175383,0.024959986159504,0.027317164456701,0.0416279741993308,0.0195938123974463,0.0315391392318875,0.0260208855362283,0.0182581146730767,0.0369258892943753,0.0125654830013837,0.0187408692961005,0.029953492163659,0.0265659124158877,0.0197471349992231,0.0182428065493092
"OSBS",0.402895624591113,0.0743486916619898,0.0136993855556711,0.0265659075081973,0.0421814175639262,0.0900348508746703,0.0236529507990593,0.0218145349078135,0.0371376452161648,0.0850064963018245,0.0198733920233171,0.0207574694915958,0.0346584084454733,0.0599434199054068,0.0228163525816584,0.0246134525721188
"SCBI",0.464898817893808,0.207320428621023,0.0263280874478109,0.0254135324792502,0.0245971313231316,0.0133981789580183,0.0324356773196704,0.0271321624405287,0.0113374156080174,0.0461956106993352,0.0168971914751297,0.0185649175143343,0.0219945649312194,0.0279343245879672,0.0175448997814396,0.0180070589193153
"STER",0.582182591249912,0.0742813527801516,0.0327597398877174,0.0193969753183233,0.0220635389879408,0.0124852975138927,0.0264141385570325,0.0262063024282512,0.0136746773587203,0.0572488230911733,0.0207652976383619,0.0185552261028094,0.0190272253936756,0.0403496020883718,0.0165272666513603,0.0180619449523057
"TALL",0.429532198799724,0.0772387838181413,0.0155187541119006,0.0219686124493066,0.0442776055050278,0.0687072067215298,0.0247023075863322,0.0241436250303737,0.0430982168662678,0.0784512234314705,0.0219814245547207,0.0213283236186931,0.0344650439839937,0.0523655136165719,0.0203025121334232,0.0219186477725232
"UNDE",0.437077130419827,0.210974861320802,0.0446283911653606,0.0220423765439233,0.0330341221131372,0.0221668553162211,0.0255479915612185,0.0235541630446878,0.017257458251488,0.0397099420958384,0.0210503589889284,0.0181185993466635,0.0225940007149027,0.0262614828744357,0.0184162693551661,0.0175659968873998
"WOOD",0.549378284275398,0.0644094744198499,0.0515579882003939,0.0148836614796293,0.0138492680387581,0.011464699212624,0.0234148102198646,0.0313455155490497,0.00870319053266326,0.0769440617306556,0.047994995843432,0.0142733487353679,0.0169672167366528,0.0461013630156478,0.0156060452551548,0.0131060767548579
