"","mean.other","mean.Mortierellales","mean.Filobasidiales","mean.Tremellales","mean.Umbelopsidales","mean.Russulales","mean.Hypocreales","mean.Eurotiales","mean.Chaetothyriales","mean.Cantharellales","mean.Sordariales","mean.Atheliales","mean.Agaricales","mean.Sebacinales","mean.Helotiales","mean.Thelephorales","mean.Pezizales","mean.Boletales","mean.Pleosporales","mean.Mytilinidales"
"BART_001-M-22-32-20140722",0.128592727343085,0.121501826308302,0.0312965814183421,0.0231313126691182,0.0390240936869493,0.0412396066167005,0.0431428314319851,0.0306896529104281,0.0491449533279105,0.0359080718588365,0.0219636732379835,0.0412506523367077,0.120697691481277,0.0452344670855436,0.0786699003788361,0.0541514156892251,0.0303016265530264,0.0219588884141351,0.0207956203561709,0.0213044068954378
"BART_001-M-7-0-20140722",0.128707275908981,0.121978872468427,0.0311574039498423,0.0232708277721827,0.0391635540475333,0.0416085449737178,0.0432495377236205,0.0308049278205035,0.0490098106073948,0.0359678049986312,0.0219668855790156,0.0413019771915179,0.119764294190896,0.0452106312801003,0.0783397808414177,0.05343306793961,0.0305421303568305,0.0222645148933691,0.0210354499178411,0.0212227075385679
"BART_001-O-30-37-20140722",0.128472876841513,0.121258330858305,0.0307154419214362,0.0234824420547529,0.0390491053683796,0.0415071072112559,0.0431545155832237,0.0306851386475205,0.0489101543951539,0.0363205571050141,0.0220722352298112,0.0408429348156548,0.121521931953962,0.0453186493784131,0.0773174908716308,0.0543818755011455,0.0305981086246568,0.0219880022997192,0.0211352386873959,0.0212678626510561
"BART_001-O-7-0-20140722",0.128588986752499,0.121674102295799,0.0308559387478672,0.0232595149924934,0.0389684236000326,0.0406929027420021,0.0433964899446346,0.0307836939124292,0.0490222444212792,0.0361104838578558,0.0221275607872274,0.0410172102468915,0.121685822680966,0.0450757783997897,0.0776980164523664,0.0544118951839483,0.0304652368510428,0.0218281785777031,0.0211403685425187,0.0211971510106538
"BART_004-M-25-6-20140722",0.139010665001151,0.154175365694391,0.0378269465532206,0.0275463028043427,0.0434922680793246,0.0289035610605422,0.0577035049446878,0.0325196888640983,0.05044151929081,0.0316505958426971,0.024536259465191,0.0380994894651821,0.0845592997184464,0.0376160775311537,0.0896340182985827,0.0356622378833547,0.0243509072809308,0.0201199351083921,0.0211560856455374,0.0209952714679636
"BART_004-O-25-6-20140722",0.138726214564525,0.154598436403602,0.0377235820327576,0.0272682034128976,0.0437329435077253,0.0288850513382145,0.0571620691125635,0.0324345657314106,0.0505766209247979,0.031643113946347,0.0245650051144176,0.0378879781599737,0.0854927749894035,0.0373049233045854,0.0893990547391037,0.0358693805409312,0.0242945713318489,0.0204587503224706,0.0211495036581079,0.0208272568643171
"BART_006-M-15-7-20140722",0.133846493548928,0.141145565565341,0.0329086583112216,0.0248161794676197,0.0450447370522967,0.0295032755499136,0.053203533828957,0.0319060114116699,0.049424005130328,0.0347689722482792,0.0236157537800907,0.0376083253397802,0.104616698967881,0.0395917723686158,0.0863129688164733,0.0413249918554768,0.027445852156418,0.0210753281523603,0.0214415660886613,0.0203993103596871
"BART_006-M-33-11-20140722",0.133592091993338,0.142386564715307,0.0330092430167546,0.0246195684077766,0.044762273477276,0.0294806948235284,0.0531308459562022,0.0317379251576027,0.0500493174513523,0.0347268245120849,0.0235960760988787,0.0380287109052962,0.10437591183717,0.0397010293705994,0.0858783091021953,0.0411636399476387,0.0271477241142817,0.0207170169909096,0.0213194463867708,0.0205767857350367
"BART_006-M-33-3-20140619",0.133809107228073,0.140952872841789,0.0327211620356797,0.0247018587980271,0.0434267868940941,0.029126090942597,0.0524434625114397,0.0318902178498744,0.0502579962524107,0.0353223241783266,0.023392033529673,0.0380650570924969,0.105301136369734,0.0405005170060831,0.0861380340708286,0.0415742402808785,0.0270674141868308,0.0210152502108168,0.0214062245345405,0.020888213185806
"BART_006-O-4-7-20140722",0.133861600200382,0.140008600019538,0.0326769688367357,0.0246510116763035,0.0438655197939306,0.0293181873971419,0.0534665508839513,0.0320427045856471,0.0503331930654611,0.0350757131453339,0.0233823988320567,0.0382372613824648,0.105174018266596,0.040753420818773,0.0851260835484624,0.0417261735994412,0.0271845302421937,0.0209359684316181,0.0212457491533649,0.0209343461206054
