"","mean.other","mean.Mortierellales","mean.Filobasidiales","mean.Tremellales","mean.Umbelopsidales","mean.Russulales","mean.Hypocreales","mean.Eurotiales","mean.Chaetothyriales","mean.Cantharellales","mean.Sordariales","mean.Atheliales","mean.Agaricales","mean.Sebacinales","mean.Helotiales","mean.Thelephorales","mean.Pezizales","mean.Boletales","mean.Pleosporales","mean.Mytilinidales"
"BART_001",0.1285974271594,0.120535508884685,0.0309789433268665,0.0229754581610996,0.0389040560138353,0.0415897328011061,0.0431327450738358,0.030883117447866,0.0495060815496324,0.0358667836296486,0.0220718647962446,0.0412379065450859,0.121825795831963,0.0465149685271396,0.0767934003488267,0.0537882039930854,0.0307367242981791,0.0219328206165735,0.0209709175564265,0.0211575434384995
"BART_004",0.13872652126237,0.154290250630575,0.0377484261821201,0.0267913948549617,0.0443961113437357,0.0285568446211461,0.0579236878443301,0.0328792470965245,0.0503540417049467,0.0316504807705203,0.0242060426687617,0.0380045393266301,0.0847988769750111,0.0377237999998843,0.0902607015973539,0.0351958522587607,0.0242939309782213,0.020299809265032,0.0214117696890397,0.0204876709300752
"BART_006",0.13382814449214,0.142172446051865,0.0325745867035429,0.0243158712683899,0.0446054576639751,0.0295510641834039,0.0534577436073459,0.0320609409981886,0.0505984792457282,0.0348638022477135,0.0232876069116759,0.0376267151641134,0.104574763400215,0.0399672844829334,0.0857475785304608,0.0408562602531032,0.027260268364297,0.0209041837700247,0.0216214466610119,0.0201253559998707
"CPER_001",0.117330321271073,0.0582558772499204,0.0244622999118586,0.0200415700904233,0.0128768927708758,0.0070385832952274,0.0890526252061065,0.0178537440903049,0.0204354119794905,0.0226649155337231,0.0557099547684504,0.00859143704381475,0.252952807633649,0.0460465579756578,0.0284821901932261,0.0515460463078519,0.0635896596876158,0.014739107136594,0.0734115302146432,0.0149184676394936
"CPER_002",0.138941747877794,0.0786157233068208,0.0378721158920081,0.0271434764021284,0.0203100225299938,0.00894190701180053,0.102806679423274,0.0216377650278212,0.0240245876780136,0.0219602780988393,0.0625116307163529,0.0110689987827613,0.170498848343625,0.0351830825628229,0.039938209966993,0.0369954288343594,0.0529369678581356,0.0162602719085116,0.074985435684985,0.0173668220929592
"CPER_003",0.121370455919797,0.0617921655380733,0.0264768046347532,0.0213130368073292,0.01374496169121,0.00743534338053578,0.0920113901785515,0.0185410368099511,0.0210156583768142,0.0224147519908619,0.0573824313493391,0.00891025944342786,0.236692347784581,0.0444854332110585,0.0300000721540832,0.0490957641549857,0.0621677768675292,0.0150319337746422,0.0747042369353361,0.0154141389971397
"CPER_004",0.119114962312571,0.0597381236673397,0.0254319743194832,0.0205276095605812,0.013073521849346,0.00718525332356703,0.0902076031071539,0.0180827450572158,0.0205590075902472,0.0224056954438543,0.0565373228953074,0.00872690641309867,0.245895516832058,0.0456326297545826,0.0289970853657812,0.0504025205522339,0.0631886704622468,0.0148681271539499,0.0742230137168607,0.0152017106225216
"CPER_007",0.126512831049971,0.0667420483398064,0.029999655887555,0.0230298047722681,0.015531493090044,0.00785940478024669,0.0949797398876875,0.0193610529298043,0.0217404022190273,0.0221303668393531,0.0591061832178014,0.00952662179728832,0.218215181383981,0.0416699241609687,0.0328289183747713,0.0454558667764503,0.0592499311558141,0.0153071441170288,0.0748407808733172,0.0159126483468159
"CPER_047",0.125598552425438,0.066078296589346,0.0295034757472003,0.022652847920224,0.0148407074445294,0.00783367969284065,0.0948671028602382,0.0190960062272595,0.0213346063430857,0.0219741843750337,0.0588731152861571,0.00929556093965305,0.220703562957174,0.0425536979852672,0.0319764907960775,0.0464428965864511,0.0601649093680397,0.0152364521873261,0.0751294054438741,0.0158444488247849
"DSNY_001",0.120160926715123,0.0343295098792016,0.0161899673269427,0.0289850946283408,0.0323533000211754,0.15596767247519,0.0297760117109174,0.0314117571305972,0.0564730110949758,0.0448202008662819,0.028509742630214,0.0341579028565867,0.0886825107182572,0.0157077167571461,0.0406826220933144,0.0830816731695193,0.0335968769208515,0.0389506011203901,0.0650004876565986,0.0211624142283763
