"","mean.other","mean.Mortierellales","mean.Filobasidiales","mean.Tremellales","mean.Umbelopsidales","mean.Russulales","mean.Hypocreales","mean.Eurotiales","mean.Chaetothyriales","mean.Cantharellales","mean.Sordariales","mean.Atheliales","mean.Agaricales","mean.Sebacinales","mean.Helotiales","mean.Thelephorales","mean.Pezizales","mean.Boletales","mean.Pleosporales","mean.Mytilinidales"
"BART",0.13051335967761,0.142953186782734,0.0362519625955877,0.0233141704999272,0.0550018040907452,0.0457486333597295,0.0474500246081742,0.0315739202982479,0.0465657537055174,0.0313366869833453,0.023704074679289,0.0356141477896231,0.101665226487712,0.0308397823823374,0.0849834584005866,0.0405494598527622,0.0290615400424147,0.0219710069796577,0.0219869103471796,0.0189148904368185
"CPER",0.131252356228758,0.072125492055619,0.032661046961338,0.0249268308104881,0.0175730144051136,0.00819380187177258,0.0987333032460214,0.0202915707854334,0.0220760560264794,0.0217471310194777,0.0600762772035434,0.0101983377654161,0.198852405418067,0.0388707626751549,0.0354584090525308,0.0426397156971303,0.0572224493138658,0.015504857541092,0.0749950228109067,0.0166011591117908
"DSNY",0.121171265832534,0.0350756054697949,0.0161637223210567,0.0313749146272124,0.033493744280518,0.157446210298755,0.0291579332607987,0.0324160889090944,0.0557437215502182,0.0430924940600576,0.0293258683313005,0.0353209227953717,0.0842007854379228,0.0152614029901681,0.0399657608470478,0.0815514350575218,0.0314676917682134,0.0410067927390021,0.0649825752736625,0.021781064149749
"HARV",0.129108739286574,0.139210704847787,0.0333065337315942,0.0250663475495926,0.0515086821573859,0.0584739608667956,0.0430056493911269,0.0301978517711454,0.0447862347892264,0.0314066888605955,0.0231391952240966,0.0373652739336391,0.111001154405023,0.0279231645457415,0.0709107136998569,0.0476277198510012,0.0291782490578237,0.022963378513143,0.0222497851300916,0.0215699723877596
"JERC",0.0972812756836366,0.021101688917861,0.0137241969540198,0.0188441647163946,0.0180919113699114,0.165414447335341,0.0269933435816058,0.0271491617474732,0.039870120017786,0.0441043869644611,0.0296349432927078,0.0164329057395343,0.150603060082931,0.0363516716637906,0.02697251207401,0.108704047636374,0.0503830725499268,0.0303318081782143,0.0619242576552935,0.0160870238387268
"ORNL",0.13145320151216,0.197947508324983,0.0252477583784507,0.0320591280030346,0.0416590812954347,0.0178905731324962,0.123500733090774,0.0305742743476517,0.0456464682043558,0.0278948138392513,0.0299637757054707,0.0167077100219163,0.0901632927818883,0.0213599985940669,0.0507434362832314,0.0301605317411362,0.0224538904991534,0.017342527032662,0.0290599006084696,0.0181713966034128
"OSBS",0.0999522507760473,0.076072673841975,0.0129727248370886,0.0245445730517529,0.0403559594227156,0.110306118103112,0.0368057160314463,0.0299821076891436,0.0557367938416403,0.0432871842097765,0.0192352046124556,0.0252796753218582,0.164750524630781,0.0220169211088298,0.0286604684381385,0.0989187937659656,0.0376684702998218,0.0260407532782321,0.0237570017407571,0.0236560849984623
"SCBI",0.111966550519728,0.204897271210717,0.0230208415392666,0.0272224421139929,0.0228346453442084,0.00823739557595334,0.197964068159994,0.02355846706725,0.0270962493575017,0.0241939800978551,0.0353758787081619,0.00682155263191756,0.121162989483749,0.031239887814398,0.0321134730453265,0.0220573462820893,0.0218442502091732,0.0112027439338501,0.031571220080227,0.015618746824641
"STER",0.134184305487238,0.0692386758944845,0.0321638422207437,0.0239707926429735,0.020025093961311,0.00781293977275758,0.103205386493079,0.0225443865521506,0.025533232722924,0.0241194923012974,0.0587284321777921,0.0102540319975416,0.184568020521482,0.0400378607771341,0.0412259504326225,0.0394985811311177,0.0574013694742466,0.0159924938113492,0.0740653415215347,0.01542977010622
"TALL",0.107501014261505,0.0798094528033693,0.0151705491930859,0.0215433833363395,0.0421521118263653,0.0817898307961745,0.0398756565621949,0.0323855700522899,0.0592126560054619,0.0444641132226247,0.0201805461984179,0.0262470345967538,0.162887911581233,0.0289762560230904,0.0398943345406149,0.0870971638355197,0.0408547130127604,0.0255093109426267,0.0238067737716542,0.0206416174379179
"UNDE",0.134685686373299,0.213753161925255,0.0474753618313629,0.0275154881403832,0.0350653186567736,0.0243460820240089,0.0783572204849168,0.0246352964146346,0.0310744351471276,0.0186158010255741,0.0328550791851092,0.0228221571703015,0.0929262549306496,0.031401826478696,0.0650793209976011,0.0323301175880589,0.0270506502655964,0.0159974699005067,0.0259550633148608,0.0180582081452845
"WOOD",0.119271090626245,0.0523445737141278,0.0472080541995175,0.0171781426961986,0.012132334557909,0.00621311493370877,0.0949297118616409,0.0198320684198344,0.0214981325911362,0.0148344592921829,0.0727289969724338,0.00668997702578967,0.165941962022567,0.081279486828887,0.0389620857879469,0.0431124817064857,0.0938638182722967,0.0116636333569068,0.0702205685243556,0.0100953066098305
