"","mean.other","mean.Mortierellomycota","mean.Basidiomycota","mean.Mucoromycota","mean.Ascomycota"
"BART_001-M-22-32-20140722",0.0661769939917015,0.147305221596835,0.447914664870954,0.0640840742321327,0.274519045308377
"BART_001-M-7-0-20140722",0.0653524314202621,0.147629657217114,0.448482570168636,0.0640270472830152,0.274508293910973
"BART_001-O-30-37-20140722",0.0652650895848964,0.146872166663909,0.45219336224354,0.0629347404005665,0.272734641107087
"BART_001-O-7-0-20140722",0.0650340263769335,0.147258326098093,0.451125187056961,0.0624831271673908,0.274099333300622
"BART_004-M-25-6-20140722",0.0745199683417023,0.183860723892762,0.366841292825786,0.0718707248119306,0.302907290127819
"BART_004-O-25-6-20140722",0.0749566088552632,0.183141278930879,0.363756288787639,0.0748282865412571,0.303317536884962
"BART_006-M-15-7-20140722",0.074410032938137,0.170313585461817,0.381744835108631,0.0734269580707918,0.300104588420623
"BART_006-M-33-11-20140722",0.0754859755752457,0.170841601497836,0.378927925315859,0.0749169448322846,0.299827552778775
"BART_006-M-33-3-20140619",0.0735786151122256,0.168634480651316,0.384384700471424,0.072653814921283,0.300748388843751
"BART_006-O-4-7-20140722",0.0737133051043386,0.169679280201607,0.384397242244004,0.0724217874003394,0.299788385049711
"CPER_001-M-22-32-20140812",0.0319380010204602,0.062571482128698,0.487025458252152,0.0136763364679173,0.404788722130772
"CPER_001-M-30-37-20140812",0.0433571217610799,0.0862720626924346,0.404829931969824,0.0230646010711322,0.44247628250553
"CPER_001-M-7-0-20140812",0.0371602200764972,0.0739933217814357,0.446876708684804,0.0177465852808315,0.424223164176432
"CPER_002-M-10-34-20140812",0.0454145884476648,0.0900488110121234,0.392430905470584,0.0248491019285691,0.447256593141059
"CPER_002-M-25-6-20140812",0.0450136333755518,0.0898781790968869,0.394164648711023,0.0248035117892377,0.4461400270273
"CPER_002-M-9-4-20140812",0.0470997903422761,0.0944592773514398,0.381643281471151,0.0268725437867271,0.449925107048406
"CPER_003-M-15-7-20140812",0.040236763288119,0.0798250869720429,0.42726126710357,0.0201265093216001,0.432550373314668
"CPER_003-M-33-11-20140812",0.0442227745000516,0.0884857115744736,0.40055322014806,0.023608509959029,0.443129783818386
"CPER_003-M-4-7-20140812",0.0395064269571705,0.0787835758369104,0.43194259561078,0.0195496369557414,0.430217764639398
"CPER_004-M-0-30-20140812",0.0352706627497094,0.0702096326184612,0.463057737801992,0.0160554650971995,0.415406501732638
"CPER_004-M-16-7-20140812",0.0378027350335313,0.075535449797167,0.444268397201308,0.0182785771560516,0.424114840811943
"CPER_004-M-23-38-20140812",0.0398859730461725,0.0797047623028434,0.427908531439045,0.0199871465339935,0.432513586677946
"CPER_007-M-3-37-20140717",0.043923303895143,0.0877311745596058,0.402022937078336,0.0235611208567101,0.442761463610205
"CPER_047-M-33-17-20140717",0.0419259868419416,0.0850549862470966,0.416831109490877,0.0213108714092521,0.434877046010832
"DSNY_001-M-1-6-20140813",0.0583093539490344,0.058280603900709,0.52395840362446,0.0447117040252726,0.314739934500524
