"","mean.other","mean.Mortierellomycota","mean.Basidiomycota","mean.Mucoromycota","mean.Ascomycota"
"BART_001",0.0643946673755576,0.145258443586504,0.454689224225799,0.0617288472564561,0.273928817555682
"BART_004",0.0744325827044984,0.182040586228721,0.367079156934226,0.0725756515898978,0.303872022542657
"BART_006",0.0731947714340038,0.16869723087426,0.386838630404412,0.0713723147350886,0.299897052552235
"CPER_001",0.0384935695634476,0.0782866555048255,0.436216680197008,0.0183692296413141,0.428633865093404
"CPER_002",0.0488992720922007,0.0991419160283461,0.372191395195605,0.0279163082755942,0.451851108408254
"CPER_003",0.0399642911520291,0.0813334368236669,0.427852615346829,0.0195792297005953,0.43127042697688
"CPER_004",0.038921998429087,0.0792894393038963,0.434575945143491,0.0187053644819819,0.428507252641544
"CPER_007",0.0422648447814747,0.0864517935184967,0.413781913270837,0.0215436247844344,0.435957823644757
"CPER_047",0.0417364185785631,0.0856290231540256,0.416761288926589,0.0211916765875312,0.434681592753291
"DSNY_001",0.0593311107730311,0.0582564079092037,0.512932086886843,0.047668098138655,0.321812296292267
"DSNY_002",0.0636333808153379,0.0612775788586856,0.485565052458265,0.0561972731651417,0.33332671470257
"DSNY_003",0.0647443193479775,0.0627822695739923,0.469235977767429,0.0570453166683693,0.346192116642232
"DSNY_004",0.0686644608258647,0.0651182191518212,0.458560680955655,0.0666906419339346,0.340965997132724
"DSNY_009",0.0631496029797625,0.0636203519618973,0.492879440015535,0.0532842374661413,0.327066367576664
"DSNY_016",0.0541074258737749,0.0573928396579555,0.548293065075234,0.0376263659262072,0.302580303466829
"DSNY_043",0.0549040397859744,0.056081945232023,0.536375020930962,0.041315247896208,0.311323746154833
"HARV_001",0.0641682663051448,0.148909011661332,0.462205929991011,0.0687026604614004,0.256014131581111
"HARV_002",0.0749478386473599,0.178044488668785,0.379550869561527,0.0810924180090903,0.286364385113238
"HARV_004",0.0791075172441583,0.228619352472767,0.28124855548799,0.0773054490685532,0.333719125726531
"HARV_010",0.057873260097376,0.13400788942588,0.497572182584535,0.0638652272294361,0.246681440662773
"HARV_013",0.067385014323433,0.15899752488597,0.456030229542973,0.067794647838285,0.249792583409339
"HARV_016",0.0578302258902217,0.149059440655338,0.486895120668746,0.0590066001426099,0.247208612643084
"HARV_020",0.109064738086767,0.306357332293325,0.104645310519281,0.119151135125268,0.360781483975359
"HARV_021",0.0644895174765587,0.141277474612296,0.467145175306958,0.0729729996016443,0.254114833002543
"HARV_033",0.064834001493341,0.169414662258512,0.419367691779318,0.0652634043153252,0.281120240153504
"HARV_034",0.0587311315698411,0.136560424185848,0.484876097309221,0.065150275721625,0.254682071213465
"HARV_035",0.0586166332925002,0.137811948681929,0.482252479649712,0.0663189815913123,0.254999956784547
"JERC_001",0.0436885789850741,0.0350490594990046,0.637177182277135,0.0233671610330264,0.26071801820576
"JERC_002",0.0471356189295559,0.0339946249185949,0.604909309678446,0.0302621702331856,0.283698276240217
"JERC_003",0.0446620118277834,0.0350080358480144,0.629763247728235,0.0250569045892981,0.265509800006669
"JERC_005",0.0467456277547744,0.0339924390967321,0.607585883193173,0.029957199735336,0.281718850219985
"JERC_006",0.046349275383941,0.0346716695194948,0.613441143989291,0.0282763592294465,0.277261551877827
"JERC_008",0.0453882091922825,0.0341429507991929,0.620732354730369,0.0268705573224155,0.27286592795574
"JERC_047",0.044984757662226,0.0350761234643599,0.621373271573313,0.0255572651657534,0.273008582134348
"JERC_048",0.045816440793412,0.0347496123007029,0.616764353195309,0.0268610861312483,0.275808507579327
"JERC_049",0.0468628586799919,0.0349330962655568,0.60990578496347,0.0284095300320447,0.279888730058937
"ORNL_001",0.0686524029334346,0.177371317824318,0.373529025210537,0.0706000944232874,0.309847159608422
"ORNL_003",0.0668414121451804,0.168319867257464,0.393651796248566,0.071172900846658,0.300014023502132
"ORNL_021",0.0833810441203286,0.24281437761158,0.210911869287054,0.0866152897446624,0.376277419236375
"ORNL_029",0.0709980855849509,0.190102953857604,0.338439634142356,0.0738065659122674,0.326652760502822
"ORNL_031",0.0884817907526285,0.276047720010923,0.148899812672967,0.0919339833219575,0.394636693241524
"ORNL_037",0.0620375517225184,0.15263951590297,0.432587903579237,0.0695644996394358,0.283170529155839
"ORNL_043",0.067659780267328,0.170759448456459,0.388107344909907,0.0730035028151997,0.300469923551107
"OSBS_001",0.0590840041798292,0.116397412582583,0.434040743733022,0.0914158052319052,0.299062034272661
"OSBS_002",0.0464643326474225,0.0893751992997193,0.514536074121807,0.0641875227500251,0.285436871181026
"OSBS_003",0.0661375191910627,0.131976973975582,0.335436853204979,0.102121037477732,0.364327616150644
"OSBS_022",0.0562903211286022,0.123234715788101,0.456290508769381,0.0798552782384077,0.284329176075508
"SCBI_002",0.0668224153717546,0.234465165497298,0.262846773814977,0.0530315057652752,0.382834139550695
"SCBI_003",0.0507729998475497,0.158833810444871,0.452966161177985,0.040866721897191,0.296560306632404
"SCBI_006",0.066434491153324,0.234670452618449,0.26468629177788,0.0516121737542968,0.38259659069605
"SCBI_012",0.0656109298097269,0.231809085406656,0.269729318687787,0.050024872627865,0.382825793467966
"SCBI_033",0.0676534099171472,0.238741027318412,0.255916381949318,0.0544037884563814,0.383285392358742
"SCBI_045",0.0697554264662737,0.244619457993456,0.241968848794085,0.05810173482284,0.385554531923345
"STER_005",0.0493079389149218,0.0857734777711404,0.374411259819491,0.0254452835189659,0.465062039975481
"STER_006",0.0582305671994419,0.100980640540935,0.327266291623171,0.034280190393129,0.479242310243324
"STER_007",0.0526925395131826,0.0908232099553934,0.35405073982077,0.0293532012001027,0.473080309510551
"STER_018",0.0488878000345562,0.0847122152830597,0.377827930300114,0.0249666239386011,0.463605430443669
"STER_026",0.0572865972905411,0.0982652245327558,0.329767196533237,0.0340921400992842,0.480588841544181
"STER_027",0.0497667037992519,0.0864141467253884,0.37237460263781,0.0258656664230021,0.465578880414548
"STER_028",0.0473062590385236,0.0830853359280877,0.387435269205443,0.023533673122138,0.458639462705808
"STER_029",0.0547269722361441,0.0944592322859988,0.345913700600625,0.0305422431321701,0.474357851745062
"STER_031",0.0576916634391239,0.101152287525491,0.331037232564356,0.0334254348868108,0.476693381584219
"STER_033",0.0480752173614559,0.0840643085470093,0.382204507325753,0.0242932202905694,0.461362746475213
"STER_034",0.043060983517974,0.0732198363883288,0.409330914948452,0.0207474287173967,0.453640836427848
"STER_035",0.0414709380846595,0.0725697550503411,0.425383968839735,0.0186007499563492,0.441974588068915
"TALL_001",0.0953315180410383,0.183756940396138,0.190617992502277,0.12771821412437,0.402575334936176
"TALL_002",0.0765558488545399,0.139151673023767,0.324672036402653,0.088425315828539,0.371195125890501
"TALL_003",0.0970258612328073,0.227827507518373,0.128779004250516,0.101297253704164,0.445070373294139
"TALL_004",0.0674777596073366,0.108928853754696,0.431088166185147,0.0887493723914505,0.30375584806137
"TALL_006",0.0757710532646201,0.141919034848281,0.32558729339042,0.0837775554014583,0.37294506309522
"TALL_007",0.0854481009932013,0.179764181794252,0.254241808491169,0.087092109133421,0.393453799587957
"TALL_009",0.0625465811907946,0.108124004386061,0.446547471902708,0.0699222315056943,0.312859711014742
"TALL_044",0.064380137338831,0.108985753583866,0.451115412976544,0.0765710729572806,0.298947623143478
"TALL_051",0.0658823303692275,0.10846836095056,0.440849967668385,0.0847163273439494,0.300083013667878
"TALL_054",0.0670559092495191,0.109058773694758,0.428816755681218,0.0876721731286137,0.307396388245891
"UNDE_001",0.0827709826612072,0.258463213928664,0.298223138769685,0.0732719022166638,0.28727076242378
"UNDE_006",0.0736794866318115,0.232311672530736,0.349100229369767,0.0571173870069221,0.287791224460763
"UNDE_007",0.0787800175429747,0.246817165007679,0.322138286998945,0.0648322661102654,0.287432264340136
"UNDE_008",0.0796224945704495,0.251575033526029,0.314515178044961,0.0662096095797232,0.288077684278838
"UNDE_013",0.0779778992853525,0.247667823138588,0.324824474158691,0.0634973604797935,0.286032442937576
"UNDE_014",0.0782934866644454,0.248060831406809,0.322326900359571,0.0639588591262932,0.287359922442881
"UNDE_017",0.0787448946848001,0.246629427007415,0.320742208394886,0.0657775874971681,0.288105882415731
"UNDE_019",0.0777156682178165,0.244815683092388,0.324930430988924,0.0641488218052874,0.288389395895585
"UNDE_027",0.0778867585161743,0.246242019448482,0.329040139298505,0.0626042134146856,0.284226869322153
"UNDE_032",0.0773297045287393,0.242026920017094,0.329690244847605,0.0641196107686137,0.286833519837948
"UNDE_034",0.0782731740691621,0.2486231844117,0.325536022916,0.0625259260797665,0.285041692523372
"UNDE_035",0.0779785539858569,0.243170100823294,0.324231262990116,0.0650600740086797,0.289560008192054
"UNDE_037",0.0916470049050307,0.311999789441581,0.188034034227546,0.0772727455391762,0.331046425886666
"UNDE_043",0.0624786940039627,0.180485846427258,0.471571519822248,0.0512461843484838,0.234217755398048
"UNDE_044",0.0576258370670044,0.163091364792421,0.513450580252606,0.047773864962213,0.218058352925756
"WOOD_001",0.0559118610944311,0.077035303390396,0.380317202048462,0.0210073218822274,0.465728311584483
"WOOD_002",0.0543390482817694,0.0751661711305385,0.386927120556871,0.0201521998650585,0.463415460165763
"WOOD_003",0.0569417815611995,0.0781168722058071,0.377811102684458,0.021263169136526,0.465867074412009
"WOOD_005",0.0541666908584112,0.0740180664863523,0.392478190659415,0.0192609350625152,0.460076116933306
"WOOD_021",0.0558641720755324,0.0764836982719406,0.383856720658567,0.0208005085927422,0.462994900401218
"WOOD_022",0.051761965730945,0.0712293126113274,0.400105660122672,0.0185613446687046,0.458341716866351
"WOOD_024",0.0540089836685226,0.0747315199491191,0.390242476706361,0.0196528020578497,0.461364217618148
