"sampleID";"pC";"cn";"pH";"NPP";"map";"mat";"forest";"conifer";"relEM";"P";"K";"Ca";"Mg"
"BART_001-M-22-32-20140722";18.6711485611365;26.312601576435;4.71698383333173;0.56800000118596649;1237;5.83749991531173;1;1;1.53327371194887;1.84468426244857;0.716667589082098;1.35384486699161;0.637911268926621
"BART_001-M-7-0-20140722";18.6711485611365;26.312601576435;4.71698383333173;0.568000018596649;1237;5.83749991531173;1;1;1.53327371194887;1.84468426244857;0.716667589082098;1.35384486699161;0.637911268926621
"BART_001-O-30-37-20140722";18.6711485611365;26.312601576435;4.71698383333173;0.568000018596649;1237;5.83749991531173;1;1;1.53327371194887;1.84468426244857;0.716667589082098;1.35384486699161;0.637911268926621
"BART_001-O-7-0-20140722";18.6711485611365;26.312601576435;4.71698383333173;0.568000018596649;1237;5.83749991531173;1;1;1.53327371194887;1.84468426244857;0.716667589082098;1.35384486699161;0.637911268926621
"BART_004-M-25-6-20140722";20.4685778877712;24.9507646049633;4.3608097971301;0.568000018596649;1237;5.83749991531173;1;1;0.697756148392661;1.62317414625986;0.714113886954962;1.73323980943214;0.890845603730467
"BART_004-O-25-6-20140722";20.4685778877712;24.9507646049633;4.3608097971301;0.568000018596649;1237;5.83749991531173;1;1;0.697756148392661;1.62317414625986;0.714113886954962;1.73323980943214;0.890845603730467
"BART_006-M-15-7-20140722";17.9339988727078;26.5345701149647;4.65380656056478;0.568000018596649;1237;5.83749991531173;1;1;0.836054963556983;1.84468426244857;0.716667589082098;1.35384486699161;0.637911268926621
"BART_006-M-33-11-20140722";17.9339988727078;26.5345701149647;4.65380656056478;0.568000018596649;1237;5.83749991531173;1;1;0.836054963556983;1.84468426244857;0.716667589082098;1.35384486699161;0.637911268926621
"BART_006-M-33-3-20140619";17.9339988727078;26.5345701149647;4.65380656056478;0.568000018596649;1237;5.83749991531173;1;1;0.836054963556983;1.84468426244857;0.716667589082098;1.35384486699161;0.637911268926621
"BART_006-O-4-7-20140722";17.9339988727078;26.5345701149647;4.65380656056478;0.568000018596649;1237;5.83749991531173;1;1;0.836054963556983;1.84468426244857;0.716667589082098;1.35384486699161;0.637911268926621
"CPER_001-M-22-32-20140812";0.738133760603473;9.89616728126102;8.53;0.425000011920929;366;9.03750000397364;0;0;-10;1.7524774497707;0.728833483707449;1.03426980509612;0.230793665424818
"CPER_001-M-30-37-20140812";0.738133760603473;9.89616728126102;7.34;0.425000011920929;366;9.03750000397364;0;0;-10;1.7524774497707;0.728833483707449;1.03426980509612;0.230793665424818
"CPER_001-M-7-0-20140812";0.738133760603473;9.89616728126102;7.93;0.425000011920929;366;9.03750000397364;0;0;-10;1.7524774497707;0.728833483707449;1.03426980509612;0.230793665424818
"CPER_002-M-10-34-20140812";0.752077061012349;9.89999335203014;7.17;0.425000011920929;366;9.03750000397364;0;0;-10;1.83634668951878;0.708452334271201;1.40224659039072;0.589815608066486
"CPER_002-M-25-6-20140812";0.752077061012349;9.89999335203014;7.18;0.425000011920929;366;9.03750000397364;0;0;-10;1.83634668951878;0.708452334271201;1.40224659039072;0.589815608066486
"CPER_002-M-9-4-20140812";0.752077061012349;9.89999335203014;6.98;0.425000011920929;366;9.03750000397364;0;0;-10;1.83634668951878;0.708452334271201;1.40224659039072;0.589815608066486
"CPER_003-M-15-7-20140812";0.700263257099079;9.50646556352264;7.64;0.425000011920929;366;9.03750000397364;0;0;-10;1.86385092152469;0.717460951734189;1.59403585558857;0.594508412863382
"CPER_003-M-33-11-20140812";0.700263257099079;9.50646556352264;7.26;0.425000011920929;366;9.03750000397364;0;0;-10;1.86385092152469;0.717460951734189;1.59403585558857;0.594508412863382
"CPER_003-M-4-7-20140812";0.700263257099079;9.50646556352264;7.7;0.425000011920929;366;9.03750000397364;0;0;-10;1.86385092152469;0.717460951734189;1.59403585558857;0.594508412863382
"CPER_004-M-0-30-20140812";0.741452507820066;9.57666854270412;8.15;0.425000011920929;366;9.03750000397364;0;0;-10;1.86385092152469;0.717460951734189;1.59403585558857;0.594508412863382
"CPER_004-M-16-7-20140812";0.741452507820066;9.57666854270412;7.86;0.425000011920929;366;9.03750000397364;0;0;-10;1.86385092152469;0.717460951734189;1.59403585558857;0.594508412863382
"CPER_004-M-23-38-20140812";0.741452507820066;9.57666854270412;7.65;0.425000011920929;366;9.03750000397364;0;0;-10;1.86385092152469;0.717460951734189;1.59403585558857;0.594508412863382
"CPER_007-M-3-37-20140717";0.67;9.6;7.28;0.425000011920929;366;9.03750000397364;0;0;-10;1.74459749916555;0.714113886954962;1.85087930729894;0.464876871458186
"CPER_047-M-33-17-20140717";0.69;8.6;7.44;0.425000011920929;366;9.03750000397364;0;0;-10;1.86385092152469;0.717460951734189;1.59403585558857;0.594508412863382
"DSNY_001-M-1-6-20140813";0.49;22.5;4.93;0.856000006198883;1218;22.1041667064031;0;1;6.39622413062165;1.46943402849638;0.704633125048793;0.505996027929079;-0.137183119869777
